nameA,nameB,RMSD(GW),# atoms
2-Cs-1.xyz,2-OpenC1.xyz,0.3156795628351814,6
3-UUD.xyz,3-UUU.xyz,1.4464396784724587,9
4-Ci.xyz,4-S4.xyz,0.4940200249712191,12
5-CA-A.xyz,5-CA-B.xyz,2.0909151721899915,15
6-BAG.xyz,6-BK-1.xyz,1.6761859648812056,18
7-BI1.xyz,7-BI2.xyz,3.1675558346983728,21
8-D2d.xyz,8-S4.xyz,0.3724679993576861,24
9-D2dDD.xyz,9-S4DA.xyz,1.9305551832754166,27
10-PP1.xyz,10-PP2.xyz,0.3379285075317387,30
11-551A-1.xyz,11-551A-4.xyz,0.13688867337895685,33
12-D2d-1-L.xyz,12-D2d-1-R.xyz,2.5900668817483776,36
13-TIP4P.xyz,13-TIP5P.xyz,2.452865184121936,39
14-1.xyz,14-2.xyz,3.056261826053411,42
15-1.xyz,15-2.xyz,2.6335715911790425,45
16-TIP4P.xyz,16-TIP5P.xyz,2.038071702569038,48
17-TIP4P.xyz,17-TIP5P.xyz,2.035449359628609,51
18-TIP4P.xyz,18-TIP5P.xyz,2.4068780263651517,54
19-TIP4P.xyz,19-TIP5P.xyz,3.611481825631511,57
20-TIP4P.xyz,20-TIP5P.xyz,2.819135216485537,60
21-TIP4P.xyz,21-TIP5P.xyz,3.1830980297552114,63
25-1.xyz,25-2.xyz,4.278384429454278,75
40-a.xyz,40-b.xyz,5.384194179286255,120
60-1.xyz,60-2.xyz,3.885758395415079,180
100-1.xyz,100-2.xyz,5.4286420049963295,300
