RMSD(ArbAlign),nameA,nameB
8.570047680346573,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_0
6.707944147344793,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_1
5.931501488608429,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_2
7.865723160270482,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_3
6.252460281196255,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_4
7.142482539731659,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_5
6.3144280806210435,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_6
6.6165410518038525,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_7
6.313892169970852,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_8
6.666168610890274,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_9
6.717749202049351,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_10
6.699479969745592,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_11
6.567765250346249,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_12
7.421051579086977,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_13
6.993578854297063,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_14
5.1995451122825775,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_15
6.712857985884344,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_16
5.547194779272366,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_17
6.320053942517502,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_18
7.344250646156758,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_19
8.048634028131525,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_20
8.836737327568,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_21
5.498115602248222,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_22
6.261754581227621,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_23
5.190650548675954,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_24
5.672669586234451,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_25
5.062443459550344,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_26
7.976771239400155,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_27
7.949196946551041,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_28
8.00235771453388,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_29
7.728613237601917,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_30
7.044279035825896,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_31
6.264557267211276,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_32
7.13778426194492,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_33
7.410600533031832,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_34
6.096594164084692,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_35
8.768166101294819,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_36
5.909063673623845,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_37
6.267994177627609,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_38
6.573855079921002,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_39
8.676492954335957,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_40
6.901645989424844,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_41
7.571306329072824,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_42
6.011582666168458,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_43
7.326784184644356,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_44
6.240575369166771,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_45
6.137933875078474,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_46
5.739349665968408,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_47
6.832662625964211,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_48
8.613046454170082,1afo_dimer_model1p1_no314OXT_manual,1afo_dimer_model_49
