RMSD(ArbAlign),nameA,nameB
6.399946890222962,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_0_chainB_pH74
6.343237757544442,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_1_chainB_pH74
6.301036973398677,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_2_chainB_pH74
7.499438934224237,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_3_chainB_pH74
6.4071743585678185,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_4_chainB_pH74
6.645240598595339,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_5_chainB_pH74
6.7892228860268276,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_6_chainB_pH74
6.802998606765533,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_7_chainB_pH74
6.185679131220455,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_8_chainB_pH74
6.821148361128901,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_9_chainB_pH74
6.720334258440476,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_10_chainB_pH74
6.679390908581543,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_11_chainB_pH74
6.312738598910395,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_12_chainB_pH74
5.861589092679293,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_13_chainB_pH74
6.727189291300382,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_14_chainB_pH74
6.481569346636654,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_15_chainB_pH74
6.476350739156437,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_16_chainB_pH74
6.067717173429322,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_17_chainB_pH74
6.525515272279889,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_18_chainB_pH74
6.001634553258114,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_19_chainB_pH74
7.088385550026849,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_20_chainB_pH74
6.122761864173961,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_21_chainB_pH74
6.329567513867401,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_22_chainB_pH74
6.45290608002252,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_23_chainB_pH74
5.772702407242763,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_24_chainB_pH74
6.157974714661499,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_25_chainB_pH74
5.83710419309005,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_26_chainB_pH74
6.175456936363851,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_27_chainB_pH74
5.596155310600432,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_28_chainB_pH74
6.167726173021041,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_29_chainB_pH74
5.702085409201563,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_30_chainB_pH74
6.449619839793302,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_31_chainB_pH74
6.047742796683389,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_32_chainB_pH74
6.062233838545349,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_33_chainB_pH74
5.895721326246701,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_34_chainB_pH74
5.6687233187851405,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_35_chainB_pH74
6.264447550289422,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_36_chainB_pH74
5.808601688923498,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_37_chainB_pH74
5.845235905993329,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_38_chainB_pH74
6.273802547719368,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_39_chainB_pH74
5.859730976271403,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_40_chainB_pH74
5.821726182861376,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_41_chainB_pH74
5.727703281341896,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_42_chainB_pH74
6.221150359540711,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_43_chainB_pH74
6.139343503009069,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_44_chainB_pH74
5.649148742032745,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_45_chainB_pH74
5.81391639759995,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_46_chainB_pH74
5.617360406082646,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_47_chainB_pH74
6.218503603615606,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_48_chainB_pH74
5.609169872600378,1afo_chainB_model1p1_no314OXT_manual,1afo_dimer_model_49_chainB_pH74
