RMSD(ArbAlign),nameA,nameB,reflect,swap,BCI (%),mismatched bond indices
2.6293933597504267,1ln1_DLP,1ln1_DLP_model_0_chainB_pH74,"(1, -1, -1)","(2, 0, 1)",50.943396226415096,"[(0, 1), (0, 51), (3, 4), (3, 52), (5, 44), (8, 46), (8, 47), (9, 10), (10, 11), (11, 12), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (23, 24), (26, 45), (26, 48), (27, 28), (28, 29), (29, 30), (31, 32), (34, 35), (36, 37), (37, 38), (39, 40), (40, 41)]"
2.4082359193535416,1ln1_DLP,1ln1_DLP_model_1_chainB_pH74,"(1, -1, -1)","(2, 0, 1)",33.9622641509434,"[(0, 1), (1, 2), (1, 45), (2, 46), (8, 9), (8, 46), (8, 47), (9, 10), (11, 12), (14, 15), (15, 16), (17, 18), (23, 24), (26, 27), (26, 48), (31, 32), (32, 33), (34, 35)]"
3.0878714083389904,1ln1_DLP,1ln1_DLP_model_2_chainB_pH74,"(1, -1, -1)","(2, 0, 1)",62.264150943396224,"[(0, 1), (1, 2), (1, 45), (2, 46), (3, 4), (3, 52), (5, 44), (8, 9), (8, 46), (8, 47), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (15, 16), (17, 18), (18, 19), (20, 21), (21, 22), (22, 23), (23, 24), (26, 27), (26, 48), (31, 32), (32, 33), (33, 34), (34, 35), (35, 36), (36, 37), (37, 38), (38, 39), (40, 41)]"
1.8373705374782876,1ln1_DLP,1ln1_DLP_model_3_chainB_pH74,"(1, 1, -1)","(0, 2, 1)",28.30188679245283,"[(1, 45), (8, 9), (10, 11), (11, 12), (14, 15), (15, 16), (18, 19), (19, 20), (21, 22), (28, 29), (29, 30), (31, 32), (32, 33), (38, 39), (40, 41)]"
2.970880039499761,1ln1_DLP,1ln1_DLP_model_4_chainB_pH74,"(-1, 1, -1)","(1, 2, 0)",54.71698113207547,"[(1, 2), (1, 45), (2, 46), (3, 4), (3, 52), (5, 44), (8, 9), (8, 46), (8, 47), (9, 10), (10, 11), (11, 12), (13, 14), (15, 16), (17, 18), (18, 19), (19, 20), (21, 22), (26, 27), (26, 45), (26, 48), (28, 29), (29, 30), (30, 31), (32, 33), (33, 34), (35, 36), (36, 37), (38, 39)]"
2.719550472981464,1ln1_DLP,1ln1_DLP_model_5_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)",54.71698113207547,"[(0, 1), (0, 51), (1, 2), (2, 46), (3, 4), (3, 52), (7, 44), (8, 9), (8, 46), (8, 47), (10, 11), (11, 12), (14, 15), (16, 17), (22, 23), (23, 24), (24, 25), (26, 27), (26, 45), (26, 48), (28, 29), (29, 30), (32, 33), (33, 34), (35, 36), (36, 37), (37, 38), (39, 40), (40, 41)]"
3.202507135465424,1ln1_DLP,1ln1_DLP_model_6_chainB_pH74,"(-1, 1, 1)","(1, 0, 2)",50.943396226415096,"[(0, 51), (1, 2), (1, 45), (2, 46), (8, 46), (8, 47), (9, 10), (11, 12), (13, 14), (14, 15), (15, 16), (17, 18), (18, 19), (20, 21), (23, 24), (26, 27), (26, 45), (26, 48), (28, 29), (29, 30), (31, 32), (32, 33), (34, 35), (35, 36), (36, 37), (39, 40), (40, 41)]"
3.3171912843487186,1ln1_DLP,1ln1_DLP_model_7_chainB_pH74,"(-1, 1, -1)","(2, 0, 1)",60.37735849056604,"[(0, 1), (0, 51), (1, 2), (1, 45), (2, 46), (3, 4), (3, 52), (4, 44), (8, 9), (8, 46), (8, 47), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (18, 19), (19, 20), (24, 25), (26, 27), (26, 48), (27, 28), (28, 29), (29, 30), (31, 32), (32, 33), (34, 35), (35, 36), (36, 37)]"
3.846458566732201,1ln1_DLP,1ln1_DLP_model_8_chainB_pH74,"(1, 1, -1)","(2, 0, 1)",54.71698113207547,"[(0, 1), (1, 2), (2, 46), (3, 4), (3, 52), (5, 44), (8, 9), (8, 46), (8, 47), (9, 10), (10, 11), (12, 13), (13, 14), (14, 15), (15, 16), (17, 18), (22, 23), (23, 24), (26, 27), (26, 45), (26, 48), (28, 29), (29, 30), (32, 33), (34, 35), (35, 36), (36, 37), (37, 38), (38, 39)]"
3.331486993015738,1ln1_DLP,1ln1_DLP_model_9_chainB_pH74,"(1, -1, -1)","(2, 0, 1)",41.509433962264154,"[(0, 51), (1, 2), (2, 46), (8, 9), (8, 46), (8, 47), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (16, 17), (18, 19), (20, 21), (28, 29), (31, 32), (32, 33), (33, 34), (35, 36), (36, 37), (39, 40), (40, 41)]"
3.297856845151313,1ln1_DLP,1ln1_DLP_model_10_chainB_pH74,"(-1, 1, -1)","(1, 2, 0)",62.264150943396224,"[(0, 1), (0, 51), (1, 2), (1, 45), (3, 4), (3, 52), (4, 44), (8, 9), (8, 46), (8, 47), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (19, 20), (24, 25), (26, 27), (26, 48), (27, 28), (28, 29), (29, 30), (30, 31), (31, 32), (32, 33), (34, 35), (35, 36), (37, 38), (39, 40)]"
