RMSD(ArbAlign),nameA,nameB
6.302240087436681,215d_DNA,215d_DNA_conf0
6.567756952349675,215d_DNA,215d_DNA_conf1
5.777254230508486,215d_DNA,215d_DNA_conf2
5.372032974042847,215d_DNA,215d_DNA_conf3
6.442729047185748,215d_DNA,215d_DNA_conf4
5.696638378477651,215d_DNA,215d_DNA_conf5
5.128646598169786,215d_DNA,215d_DNA_conf6
6.213283172517323,215d_DNA,215d_DNA_conf7
6.527128932731464,215d_DNA,215d_DNA_conf8
6.3820790003348415,215d_DNA,215d_DNA_conf9
6.08707007524362,215d_DNA,215d_DNA_conf10
6.28439564027633,215d_DNA,215d_DNA_conf11
6.030980282476239,215d_DNA,215d_DNA_conf12
5.427629791156234,215d_DNA,215d_DNA_conf13
6.214565075187431,215d_DNA,215d_DNA_conf14
6.081416692112125,215d_DNA,215d_DNA_conf15
6.25179788265888,215d_DNA,215d_DNA_conf16
5.473985720698135,215d_DNA,215d_DNA_conf17
6.413724939330841,215d_DNA,215d_DNA_conf18
6.251364364682761,215d_DNA,215d_DNA_conf19
5.80431161560987,215d_DNA,215d_DNA_conf20
5.985318855022638,215d_DNA,215d_DNA_conf21
6.356134511048908,215d_DNA,215d_DNA_conf22
5.9008624300984645,215d_DNA,215d_DNA_conf23
6.128384439090764,215d_DNA,215d_DNA_conf24
6.365301894518914,215d_DNA,215d_DNA_conf25
6.099233124417222,215d_DNA,215d_DNA_conf26
5.964474825084202,215d_DNA,215d_DNA_conf27
6.312256324011445,215d_DNA,215d_DNA_conf28
5.957513404143033,215d_DNA,215d_DNA_conf29
5.87059325324841,215d_DNA,215d_DNA_conf30
6.483174649122965,215d_DNA,215d_DNA_conf31
5.656725840754898,215d_DNA,215d_DNA_conf32
6.342217501125357,215d_DNA,215d_DNA_conf33
6.5847585585234585,215d_DNA,215d_DNA_conf34
6.33514795357162,215d_DNA,215d_DNA_conf35
6.025981764203416,215d_DNA,215d_DNA_conf36
5.596671149661331,215d_DNA,215d_DNA_conf37
6.120370140721695,215d_DNA,215d_DNA_conf38
6.262732119386785,215d_DNA,215d_DNA_conf39
5.971146665348186,215d_DNA,215d_DNA_conf40
6.158506757031367,215d_DNA,215d_DNA_conf41
6.803425716130846,215d_DNA,215d_DNA_conf42
6.0446156014769565,215d_DNA,215d_DNA_conf43
6.455400328392841,215d_DNA,215d_DNA_conf44
6.324769682583398,215d_DNA,215d_DNA_conf45
5.78552956890774,215d_DNA,215d_DNA_conf46
5.6716618006706465,215d_DNA,215d_DNA_conf47
6.280719869689145,215d_DNA,215d_DNA_conf48
6.095190440620229,215d_DNA,215d_DNA_conf49
