RMSD(ArbAlign),nameA,nameB,reflect,swap
1.281453865705413,4csv_imatinib,4csv_imatinib_model_0_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
1.1189006965187773,4csv_imatinib,4csv_imatinib_model_1_chainB_pH74,"(-1, 1, -1)","(0, 1, 2)"
1.253402828930188,4csv_imatinib,4csv_imatinib_model_2_chainB_pH74,"(1, -1, 1)","(2, 1, 0)"
0.23731207397691834,4csv_imatinib,4csv_imatinib_model_3_chainB_pH74,"(1, 1, -1)","(1, 0, 2)"
1.1760689402310065,4csv_imatinib,4csv_imatinib_model_4_chainB_pH74,"(1, -1, 1)","(1, 0, 2)"
1.2067660043737898,4csv_imatinib,4csv_imatinib_model_5_chainB_pH74,"(1, -1, 1)","(2, 1, 0)"
1.3069488067762804,4csv_imatinib,4csv_imatinib_model_6_chainB_pH74,"(-1, -1, -1)","(2, 1, 0)"
0.2639682682393074,4csv_imatinib,4csv_imatinib_model_7_chainB_pH74,"(1, -1, -1)","(1, 2, 0)"
1.4258296737669398,4csv_imatinib,4csv_imatinib_model_8_chainB_pH74,"(1, 1, 1)","(1, 2, 0)"
1.5514183167024589,4csv_imatinib,4csv_imatinib_model_9_chainB_pH74,"(1, -1, 1)","(0, 2, 1)"
0.40519062281926066,4csv_imatinib,4csv_imatinib_model_10_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
0.2406249619252253,4csv_imatinib,4csv_imatinib_model_11_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)"
1.4145185332130408,4csv_imatinib,4csv_imatinib_model_12_chainB_pH74,"(-1, 1, -1)","(2, 0, 1)"
0.2577721007479003,4csv_imatinib,4csv_imatinib_model_13_chainB_pH74,"(1, 1, 1)","(1, 2, 0)"
0.23978175687785175,4csv_imatinib,4csv_imatinib_model_14_chainB_pH74,"(1, 1, -1)","(2, 1, 0)"
1.2153840861614893,4csv_imatinib,4csv_imatinib_model_15_chainB_pH74,"(1, 1, 1)","(2, 0, 1)"
1.3498729062419002,4csv_imatinib,4csv_imatinib_model_16_chainB_pH74,"(1, -1, -1)","(1, 2, 0)"
1.6606785700115505,4csv_imatinib,4csv_imatinib_model_17_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
0.23983409819434515,4csv_imatinib,4csv_imatinib_model_18_chainB_pH74,"(1, 1, -1)","(0, 2, 1)"
0.9891539412356084,4csv_imatinib,4csv_imatinib_model_19_chainB_pH74,"(1, 1, 1)","(1, 2, 0)"
1.0371383020801004,4csv_imatinib,4csv_imatinib_model_20_chainB_pH74,"(-1, -1, 1)","(1, 2, 0)"
2.0335441114164694,4csv_imatinib,4csv_imatinib_model_21_chainB_pH74,"(-1, -1, 1)","(1, 2, 0)"
1.6923749703994717,4csv_imatinib,4csv_imatinib_model_22_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
1.395997703156146,4csv_imatinib,4csv_imatinib_model_23_chainB_pH74,"(-1, 1, -1)","(2, 0, 1)"
0.8984628596040968,4csv_imatinib,4csv_imatinib_model_24_chainB_pH74,"(1, -1, 1)","(0, 2, 1)"
0.8327203316940659,4csv_imatinib,4csv_imatinib_model_25_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
0.8198025623742724,4csv_imatinib,4csv_imatinib_model_26_chainB_pH74,"(1, 1, -1)","(1, 0, 2)"
1.7412337599661278,4csv_imatinib,4csv_imatinib_model_27_chainB_pH74,"(-1, -1, -1)","(2, 1, 0)"
0.6053951502533518,4csv_imatinib,4csv_imatinib_model_28_chainB_pH74,"(-1, 1, 1)","(0, 2, 1)"
0.702981471373652,4csv_imatinib,4csv_imatinib_model_29_chainB_pH74,"(1, -1, 1)","(2, 1, 0)"
1.2699714525376848,4csv_imatinib,4csv_imatinib_model_30_chainB_pH74,"(1, 1, 1)","(1, 2, 0)"
0.2664247465845761,4csv_imatinib,4csv_imatinib_model_31_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
0.8221295825542687,4csv_imatinib,4csv_imatinib_model_32_chainB_pH74,"(-1, 1, -1)","(1, 2, 0)"
1.503266356076321,4csv_imatinib,4csv_imatinib_model_33_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)"
0.4130560049881445,4csv_imatinib,4csv_imatinib_model_34_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
0.8755173835410893,4csv_imatinib,4csv_imatinib_model_35_chainB_pH74,"(1, -1, 1)","(0, 2, 1)"
1.512882645627816,4csv_imatinib,4csv_imatinib_model_36_chainB_pH74,"(1, 1, -1)","(2, 1, 0)"
1.7439343521051969,4csv_imatinib,4csv_imatinib_model_37_chainB_pH74,"(-1, -1, 1)","(1, 2, 0)"
0.8165635724987856,4csv_imatinib,4csv_imatinib_model_38_chainB_pH74,"(1, 1, 1)","(1, 2, 0)"
0.24762730250631854,4csv_imatinib,4csv_imatinib_model_39_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
0.6879499152840728,4csv_imatinib,4csv_imatinib_model_40_chainB_pH74,"(1, -1, -1)","(0, 1, 2)"
1.4793362688353957,4csv_imatinib,4csv_imatinib_model_41_chainB_pH74,"(1, -1, 1)","(0, 2, 1)"
0.22622223491442037,4csv_imatinib,4csv_imatinib_model_42_chainB_pH74,"(1, -1, -1)","(0, 1, 2)"
1.0542827616144763,4csv_imatinib,4csv_imatinib_model_43_chainB_pH74,"(-1, 1, -1)","(2, 0, 1)"
