RMSD(ArbAlign),nameA,nameB
1.5183537385192412,5bvs_EIC,5bvs_EIC_conf0
2.5669297653234766,5bvs_EIC,5bvs_EIC_conf1
1.8005527406332995,5bvs_EIC,5bvs_EIC_conf2
1.6111556626073789,5bvs_EIC,5bvs_EIC_conf3
1.819373492348102,5bvs_EIC,5bvs_EIC_conf4
1.5836755512394567,5bvs_EIC,5bvs_EIC_conf5
2.037610313061011,5bvs_EIC,5bvs_EIC_conf6
2.363829748655122,5bvs_EIC,5bvs_EIC_conf7
1.7348755816581132,5bvs_EIC,5bvs_EIC_conf8
1.497755209530772,5bvs_EIC,5bvs_EIC_conf9
1.606165808418728,5bvs_EIC,5bvs_EIC_conf10
1.944032202435035,5bvs_EIC,5bvs_EIC_conf11
1.6064414161771972,5bvs_EIC,5bvs_EIC_conf12
1.5210417911057112,5bvs_EIC,5bvs_EIC_conf13
1.9015956937187364,5bvs_EIC,5bvs_EIC_conf14
1.9488076201110096,5bvs_EIC,5bvs_EIC_conf15
2.209182344584194,5bvs_EIC,5bvs_EIC_conf16
3.156985146962707,5bvs_EIC,5bvs_EIC_conf17
2.1592209660104373,5bvs_EIC,5bvs_EIC_conf18
1.4307098380888499,5bvs_EIC,5bvs_EIC_conf19
1.920985849569042,5bvs_EIC,5bvs_EIC_conf20
2.2469413059289285,5bvs_EIC,5bvs_EIC_conf21
3.0182875931298914,5bvs_EIC,5bvs_EIC_conf22
2.614619377908261,5bvs_EIC,5bvs_EIC_conf23
1.4730217298106059,5bvs_EIC,5bvs_EIC_conf24
1.8844750450479812,5bvs_EIC,5bvs_EIC_conf25
1.9270517341089966,5bvs_EIC,5bvs_EIC_conf26
2.6429509583467357,5bvs_EIC,5bvs_EIC_conf27
2.6954431906300034,5bvs_EIC,5bvs_EIC_conf28
2.1511797141081708,5bvs_EIC,5bvs_EIC_conf29
1.5528097571221657,5bvs_EIC,5bvs_EIC_conf30
2.2637933563933297,5bvs_EIC,5bvs_EIC_conf31
2.471324383053499,5bvs_EIC,5bvs_EIC_conf32
1.5591836764382927,5bvs_EIC,5bvs_EIC_conf33
2.6419525940974062,5bvs_EIC,5bvs_EIC_conf34
2.1426518892851147,5bvs_EIC,5bvs_EIC_conf35
2.044394949056959,5bvs_EIC,5bvs_EIC_conf36
1.6667875479524774,5bvs_EIC,5bvs_EIC_conf37
1.6020729330542747,5bvs_EIC,5bvs_EIC_conf38
1.5556585192851227,5bvs_EIC,5bvs_EIC_conf39
1.6753602823123805,5bvs_EIC,5bvs_EIC_conf40
2.4410601000008354,5bvs_EIC,5bvs_EIC_conf41
2.5141430572043646,5bvs_EIC,5bvs_EIC_conf42
2.3276909027536434,5bvs_EIC,5bvs_EIC_conf43
2.203383738892991,5bvs_EIC,5bvs_EIC_conf44
2.1925852841305624,5bvs_EIC,5bvs_EIC_conf45
2.377082765790105,5bvs_EIC,5bvs_EIC_conf46
2.170103958647187,5bvs_EIC,5bvs_EIC_conf47
1.8839582805318216,5bvs_EIC,5bvs_EIC_conf48
2.1670420618962156,5bvs_EIC,5bvs_EIC_conf49
