RMSD(ArbAlign),nameA,nameB,reflect,swap
1.4142898731150781,5bvs_EIC,5bvs_EIC_model_0_chainB_pH74,"(-1, 1, -1)","(0, 1, 2)"
1.3551403904536954,5bvs_EIC,5bvs_EIC_model_1_chainB_pH74,"(-1, 1, -1)","(1, 2, 0)"
1.819104715003017,5bvs_EIC,5bvs_EIC_model_2_chainB_pH74,"(1, -1, 1)","(2, 1, 0)"
1.9956910465275006,5bvs_EIC,5bvs_EIC_model_3_chainB_pH74,"(-1, -1, -1)","(2, 0, 1)"
1.6268286380125097,5bvs_EIC,5bvs_EIC_model_4_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)"
1.4783384443002276,5bvs_EIC,5bvs_EIC_model_5_chainB_pH74,"(1, -1, -1)","(2, 1, 0)"
1.5553081275998994,5bvs_EIC,5bvs_EIC_model_6_chainB_pH74,"(-1, 1, -1)","(0, 1, 2)"
1.3092414438929594,5bvs_EIC,5bvs_EIC_model_7_chainB_pH74,"(1, -1, 1)","(0, 2, 1)"
1.4232382077427692,5bvs_EIC,5bvs_EIC_model_8_chainB_pH74,"(-1, -1, -1)","(0, 2, 1)"
1.3068853380784835,5bvs_EIC,5bvs_EIC_model_9_chainB_pH74,"(1, -1, -1)","(1, 2, 0)"
1.403540884820234,5bvs_EIC,5bvs_EIC_model_10_chainB_pH74,"(1, 1, -1)","(1, 2, 0)"
1.313510845194335,5bvs_EIC,5bvs_EIC_model_11_chainB_pH74,"(1, 1, -1)","(2, 1, 0)"
1.438887241450546,5bvs_EIC,5bvs_EIC_model_12_chainB_pH74,"(-1, 1, -1)","(2, 0, 1)"
1.5364417445585137,5bvs_EIC,5bvs_EIC_model_13_chainB_pH74,"(1, -1, -1)","(1, 0, 2)"
1.4644052517857966,5bvs_EIC,5bvs_EIC_model_14_chainB_pH74,"(-1, 1, -1)","(0, 2, 1)"
1.3261473280639047,5bvs_EIC,5bvs_EIC_model_15_chainB_pH74,"(-1, -1, -1)","(2, 1, 0)"
1.6646132012772707,5bvs_EIC,5bvs_EIC_model_16_chainB_pH74,"(1, -1, 1)","(2, 0, 1)"
1.2905233003900112,5bvs_EIC,5bvs_EIC_model_17_chainB_pH74,"(-1, 1, 1)","(0, 2, 1)"
1.556873835369108,5bvs_EIC,5bvs_EIC_model_18_chainB_pH74,"(1, -1, 1)","(0, 1, 2)"
1.4870061111056,5bvs_EIC,5bvs_EIC_model_19_chainB_pH74,"(1, 1, 1)","(0, 1, 2)"
1.3402003239665523,5bvs_EIC,5bvs_EIC_model_20_chainB_pH74,"(1, 1, 1)","(1, 2, 0)"
1.2484276635867098,5bvs_EIC,5bvs_EIC_model_21_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)"
1.637807400567022,5bvs_EIC,5bvs_EIC_model_22_chainB_pH74,"(1, 1, 1)","(2, 1, 0)"
1.2340837961598388,5bvs_EIC,5bvs_EIC_model_23_chainB_pH74,"(1, -1, -1)","(1, 2, 0)"
1.6545641278558052,5bvs_EIC,5bvs_EIC_model_24_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)"
1.5068613658497552,5bvs_EIC,5bvs_EIC_model_25_chainB_pH74,"(1, 1, 1)","(0, 2, 1)"
1.460210237659609,5bvs_EIC,5bvs_EIC_model_26_chainB_pH74,"(1, -1, 1)","(1, 0, 2)"
1.4870375979210653,5bvs_EIC,5bvs_EIC_model_27_chainB_pH74,"(1, -1, 1)","(2, 1, 0)"
1.5379848428401184,5bvs_EIC,5bvs_EIC_model_28_chainB_pH74,"(1, -1, -1)","(1, 0, 2)"
1.4420046811248093,5bvs_EIC,5bvs_EIC_model_29_chainB_pH74,"(1, 1, -1)","(0, 2, 1)"
1.660519373294767,5bvs_EIC,5bvs_EIC_model_30_chainB_pH74,"(-1, 1, 1)","(2, 0, 1)"
1.372668012117734,5bvs_EIC,5bvs_EIC_model_31_chainB_pH74,"(-1, -1, 1)","(2, 1, 0)"
1.502882035233513,5bvs_EIC,5bvs_EIC_model_32_chainB_pH74,"(-1, -1, -1)","(1, 2, 0)"
1.5385739191335603,5bvs_EIC,5bvs_EIC_model_33_chainB_pH74,"(1, -1, -1)","(0, 2, 1)"
