RMSD(ArbAlign),nameA,nameB
2.0357244970383515,6ln3_ATP,6ln3_ATP_conf0
2.5010524080324283,6ln3_ATP,6ln3_ATP_conf1
2.511147347378512,6ln3_ATP,6ln3_ATP_conf2
2.191351208785458,6ln3_ATP,6ln3_ATP_conf3
2.097796220665333,6ln3_ATP,6ln3_ATP_conf4
2.17561861382543,6ln3_ATP,6ln3_ATP_conf5
2.278557761306803,6ln3_ATP,6ln3_ATP_conf6
1.9792312921525237,6ln3_ATP,6ln3_ATP_conf7
2.4113413510726023,6ln3_ATP,6ln3_ATP_conf8
2.0858160524638105,6ln3_ATP,6ln3_ATP_conf9
2.0637497942940493,6ln3_ATP,6ln3_ATP_conf10
2.1764916650818593,6ln3_ATP,6ln3_ATP_conf11
2.243874545845644,6ln3_ATP,6ln3_ATP_conf12
3.056421295398315,6ln3_ATP,6ln3_ATP_conf13
2.13198526233661,6ln3_ATP,6ln3_ATP_conf14
2.2487628382964253,6ln3_ATP,6ln3_ATP_conf15
2.4948288504691147,6ln3_ATP,6ln3_ATP_conf16
2.489972275373387,6ln3_ATP,6ln3_ATP_conf17
2.4677053698978435,6ln3_ATP,6ln3_ATP_conf18
2.257262206839701,6ln3_ATP,6ln3_ATP_conf19
2.313427968911324,6ln3_ATP,6ln3_ATP_conf20
2.8486800343788277,6ln3_ATP,6ln3_ATP_conf21
2.6710438738112168,6ln3_ATP,6ln3_ATP_conf22
2.374402010563625,6ln3_ATP,6ln3_ATP_conf23
2.9058670792107604,6ln3_ATP,6ln3_ATP_conf24
1.8919603469466402,6ln3_ATP,6ln3_ATP_conf25
2.1480723921645066,6ln3_ATP,6ln3_ATP_conf26
2.089338452959855,6ln3_ATP,6ln3_ATP_conf27
2.6418129089242806,6ln3_ATP,6ln3_ATP_conf28
2.685503182912999,6ln3_ATP,6ln3_ATP_conf29
2.691223768906973,6ln3_ATP,6ln3_ATP_conf30
2.17493416390835,6ln3_ATP,6ln3_ATP_conf31
1.768030320190841,6ln3_ATP,6ln3_ATP_conf32
2.2876333738916625,6ln3_ATP,6ln3_ATP_conf33
2.3470569131421075,6ln3_ATP,6ln3_ATP_conf34
1.94509829244015,6ln3_ATP,6ln3_ATP_conf35
2.711573611288166,6ln3_ATP,6ln3_ATP_conf36
2.0477927425220477,6ln3_ATP,6ln3_ATP_conf37
2.5537809040655954,6ln3_ATP,6ln3_ATP_conf38
2.747819106471538,6ln3_ATP,6ln3_ATP_conf39
2.4324153594716793,6ln3_ATP,6ln3_ATP_conf40
2.2825236211053275,6ln3_ATP,6ln3_ATP_conf41
2.40900943096026,6ln3_ATP,6ln3_ATP_conf42
1.716537117892304,6ln3_ATP,6ln3_ATP_conf43
1.8828113042813692,6ln3_ATP,6ln3_ATP_conf44
2.7418190375107265,6ln3_ATP,6ln3_ATP_conf45
2.164562972011331,6ln3_ATP,6ln3_ATP_conf46
2.6744510399940142,6ln3_ATP,6ln3_ATP_conf47
1.9062763792945028,6ln3_ATP,6ln3_ATP_conf48
2.364389642811656,6ln3_ATP,6ln3_ATP_conf49
