RMSD(ArbAlign),nameA,nameB,reflect,swap
2.0158749709007884,6ln3_ATP,6ln3_ATP_model_0_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)"
2.061119223629614,6ln3_ATP,6ln3_ATP_model_1_chainB_pH74,"(1, 1, 1)","(2, 0, 1)"
2.0492073620440188,6ln3_ATP,6ln3_ATP_model_2_chainB_pH74,"(-1, -1, 1)","(0, 2, 1)"
1.9674464886003193,6ln3_ATP,6ln3_ATP_model_3_chainB_pH74,"(1, -1, -1)","(0, 2, 1)"
1.7734223293530569,6ln3_ATP,6ln3_ATP_model_4_chainB_pH74,"(-1, 1, -1)","(1, 0, 2)"
1.9268912283911215,6ln3_ATP,6ln3_ATP_model_5_chainB_pH74,"(1, -1, -1)","(0, 2, 1)"
1.9155901864713303,6ln3_ATP,6ln3_ATP_model_6_chainB_pH74,"(1, -1, -1)","(0, 2, 1)"
1.9148412977269333,6ln3_ATP,6ln3_ATP_model_7_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)"
1.880915917495902,6ln3_ATP,6ln3_ATP_model_8_chainB_pH74,"(-1, 1, 1)","(1, 2, 0)"
1.9710869740893464,6ln3_ATP,6ln3_ATP_model_9_chainB_pH74,"(1, 1, 1)","(0, 2, 1)"
1.987745383867442,6ln3_ATP,6ln3_ATP_model_10_chainB_pH74,"(-1, -1, -1)","(2, 0, 1)"
2.0241025068387546,6ln3_ATP,6ln3_ATP_model_11_chainB_pH74,"(1, -1, -1)","(1, 0, 2)"
1.9501438611325403,6ln3_ATP,6ln3_ATP_model_12_chainB_pH74,"(-1, -1, 1)","(2, 1, 0)"
1.8483978232552776,6ln3_ATP,6ln3_ATP_model_13_chainB_pH74,"(1, 1, 1)","(2, 1, 0)"
1.9945187430399898,6ln3_ATP,6ln3_ATP_model_14_chainB_pH74,"(-1, 1, -1)","(0, 2, 1)"
1.8186285254800292,6ln3_ATP,6ln3_ATP_model_15_chainB_pH74,"(-1, -1, 1)","(1, 0, 2)"
2.068103027234608,6ln3_ATP,6ln3_ATP_model_16_chainB_pH74,"(-1, -1, -1)","(2, 0, 1)"
1.8923852762872757,6ln3_ATP,6ln3_ATP_model_17_chainB_pH74,"(1, 1, 1)","(0, 2, 1)"
2.057101156413317,6ln3_ATP,6ln3_ATP_model_18_chainB_pH74,"(-1, 1, -1)","(1, 2, 0)"
1.9921255740803168,6ln3_ATP,6ln3_ATP_model_19_chainB_pH74,"(1, -1, -1)","(1, 0, 2)"
1.7325846932772702,6ln3_ATP,6ln3_ATP_model_20_chainB_pH74,"(1, 1, -1)","(1, 0, 2)"
2.0557918310203953,6ln3_ATP,6ln3_ATP_model_21_chainB_pH74,"(1, -1, 1)","(0, 1, 2)"
1.9156976714029472,6ln3_ATP,6ln3_ATP_model_22_chainB_pH74,"(-1, 1, -1)","(2, 1, 0)"
2.1882008393586507,6ln3_ATP,6ln3_ATP_model_23_chainB_pH74,"(1, 1, 1)","(0, 1, 2)"
1.940414010453033,6ln3_ATP,6ln3_ATP_model_24_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
1.65488147370464,6ln3_ATP,6ln3_ATP_model_25_chainB_pH74,"(1, 1, 1)","(2, 1, 0)"
1.9221543723869225,6ln3_ATP,6ln3_ATP_model_26_chainB_pH74,"(-1, 1, 1)","(2, 0, 1)"
1.9620630387252036,6ln3_ATP,6ln3_ATP_model_27_chainB_pH74,"(1, 1, 1)","(1, 0, 2)"
1.9526380537685264,6ln3_ATP,6ln3_ATP_model_28_chainB_pH74,"(-1, -1, 1)","(1, 0, 2)"
1.990771926816224,6ln3_ATP,6ln3_ATP_model_29_chainB_pH74,"(1, -1, -1)","(1, 0, 2)"
2.07315092862579,6ln3_ATP,6ln3_ATP_model_30_chainB_pH74,"(-1, -1, -1)","(2, 0, 1)"
1.9283642079356875,6ln3_ATP,6ln3_ATP_model_31_chainB_pH74,"(-1, -1, 1)","(0, 2, 1)"
1.8618585298303654,6ln3_ATP,6ln3_ATP_model_32_chainB_pH74,"(1, 1, 1)","(1, 0, 2)"
1.8002389579076894,6ln3_ATP,6ln3_ATP_model_33_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)"
1.9078618591742043,6ln3_ATP,6ln3_ATP_model_34_chainB_pH74,"(1, -1, 1)","(1, 2, 0)"
2.065563218682579,6ln3_ATP,6ln3_ATP_model_35_chainB_pH74,"(1, -1, -1)","(2, 1, 0)"
1.8993262092528866,6ln3_ATP,6ln3_ATP_model_36_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
1.8581873516346035,6ln3_ATP,6ln3_ATP_model_37_chainB_pH74,"(-1, 1, 1)","(0, 1, 2)"
1.9838706023174466,6ln3_ATP,6ln3_ATP_model_38_chainB_pH74,"(-1, -1, 1)","(2, 1, 0)"
1.9739937398666796,6ln3_ATP,6ln3_ATP_model_39_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
1.8701117701682908,6ln3_ATP,6ln3_ATP_model_40_chainB_pH74,"(-1, 1, -1)","(1, 0, 2)"
1.9158868220801357,6ln3_ATP,6ln3_ATP_model_41_chainB_pH74,"(1, 1, -1)","(1, 2, 0)"
1.958345382421458,6ln3_ATP,6ln3_ATP_model_42_chainB_pH74,"(1, 1, 1)","(2, 1, 0)"
2.0777742024836185,6ln3_ATP,6ln3_ATP_model_43_chainB_pH74,"(1, -1, 1)","(2, 0, 1)"
1.7739040947996676,6ln3_ATP,6ln3_ATP_model_44_chainB_pH74,"(1, 1, 1)","(2, 1, 0)"
1.8668584164910906,6ln3_ATP,6ln3_ATP_model_45_chainB_pH74,"(-1, -1, 1)","(1, 0, 2)"
2.076048896969998,6ln3_ATP,6ln3_ATP_model_46_chainB_pH74,"(-1, 1, -1)","(1, 0, 2)"
2.0690680795882357,6ln3_ATP,6ln3_ATP_model_47_chainB_pH74,"(1, 1, 1)","(2, 0, 1)"
2.091265265330036,6ln3_ATP,6ln3_ATP_model_48_chainB_pH74,"(-1, 1, -1)","(2, 1, 0)"
1.812732390402846,6ln3_ATP,6ln3_ATP_model_49_chainB_pH74,"(1, 1, -1)","(1, 0, 2)"
2.2147972135586067,6ln3_ATP,CSD_GAYLOH_ATP_manual,"(1, 1, 1)","(0, 1, 2)"
