RMSD(ArbAlign),nameA,nameB,reflect,swap,BCI (%),mismatched bond indices
2.0158749709007884,6ln3_ATP,6ln3_ATP_model_0_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)",24.242424242424242,"[(0, 7), (4, 6), (4, 7), (8, 11), (8, 12), (12, 13), (16, 17), (16, 18)]"
2.061119223629614,6ln3_ATP,6ln3_ATP_model_1_chainB_pH74,"(1, 1, 1)","(2, 0, 1)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 11), (12, 13), (13, 14), (14, 15), (16, 17), (16, 18), (20, 21)]"
2.0492073620440188,6ln3_ATP,6ln3_ATP_model_2_chainB_pH74,"(-1, -1, 1)","(0, 2, 1)",30.303030303030305,"[(0, 2), (0, 7), (4, 5), (4, 6), (4, 11), (8, 10), (12, 13), (16, 17), (16, 18), (18, 19)]"
1.9674464886003196,6ln3_ATP,6ln3_ATP_model_3_chainB_pH74,"(1, -1, -1)","(0, 2, 1)",27.27272727272727,"[(0, 2), (0, 7), (4, 5), (4, 11), (8, 10), (12, 13), (16, 17), (16, 18), (18, 19)]"
1.7734223293530569,6ln3_ATP,6ln3_ATP_model_4_chainB_pH74,"(-1, 1, -1)","(1, 0, 2)",27.27272727272727,"[(0, 2), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (18, 19), (18, 20)]"
1.9268912283911213,6ln3_ATP,6ln3_ATP_model_5_chainB_pH74,"(1, -1, -1)","(0, 2, 1)",33.33333333333333,"[(0, 1), (0, 3), (4, 5), (4, 11), (8, 12), (12, 13), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
1.9155901864713305,6ln3_ATP,6ln3_ATP_model_6_chainB_pH74,"(1, -1, -1)","(0, 2, 1)",27.27272727272727,"[(0, 2), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (18, 19), (18, 20)]"
1.9148412977269331,6ln3_ATP,6ln3_ATP_model_7_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 11), (12, 13), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
1.880915917495902,6ln3_ATP,6ln3_ATP_model_8_chainB_pH74,"(-1, 1, 1)","(1, 2, 0)",30.303030303030305,"[(0, 2), (4, 5), (4, 6), (4, 11), (8, 10), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
1.9710869740893464,6ln3_ATP,6ln3_ATP_model_9_chainB_pH74,"(1, 1, 1)","(0, 2, 1)",24.242424242424242,"[(0, 3), (4, 7), (4, 11), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
1.987745383867442,6ln3_ATP,6ln3_ATP_model_10_chainB_pH74,"(-1, -1, -1)","(2, 0, 1)",30.303030303030305,"[(0, 2), (4, 5), (4, 6), (4, 11), (8, 10), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
2.0241025068387546,6ln3_ATP,6ln3_ATP_model_11_chainB_pH74,"(1, -1, -1)","(1, 0, 2)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 11), (8, 12), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.9501438611325403,6ln3_ATP,6ln3_ATP_model_12_chainB_pH74,"(-1, -1, 1)","(2, 1, 0)",30.303030303030305,"[(0, 2), (4, 5), (4, 6), (4, 11), (8, 10), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.8483978232552776,6ln3_ATP,6ln3_ATP_model_13_chainB_pH74,"(1, 1, 1)","(2, 1, 0)",24.242424242424242,"[(0, 2), (4, 5), (4, 6), (8, 10), (13, 14), (14, 15), (18, 19), (18, 20)]"
1.9945187430399896,6ln3_ATP,6ln3_ATP_model_14_chainB_pH74,"(-1, 1, -1)","(0, 2, 1)",33.33333333333333,"[(0, 2), (0, 7), (4, 5), (4, 6), (4, 11), (8, 10), (12, 13), (14, 15), (14, 16), (16, 17), (18, 20)]"
1.8186285254800287,6ln3_ATP,6ln3_ATP_model_15_chainB_pH74,"(-1, -1, 1)","(1, 0, 2)",24.242424242424242,"[(0, 2), (0, 7), (4, 5), (4, 11), (8, 12), (16, 17), (16, 18), (18, 19)]"
2.068103027234608,6ln3_ATP,6ln3_ATP_model_16_chainB_pH74,"(-1, -1, -1)","(2, 0, 1)",30.303030303030305,"[(0, 3), (0, 7), (4, 5), (4, 11), (8, 10), (12, 13), (14, 16), (16, 18), (18, 19), (18, 20)]"
1.892385276287276,6ln3_ATP,6ln3_ATP_model_17_chainB_pH74,"(1, 1, 1)","(0, 2, 1)",27.27272727272727,"[(0, 7), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (18, 19), (18, 20)]"
2.057101156413317,6ln3_ATP,6ln3_ATP_model_18_chainB_pH74,"(-1, 1, -1)","(1, 2, 0)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 11), (12, 13), (13, 14), (14, 15), (16, 17), (16, 18), (20, 21)]"
1.9921255740803168,6ln3_ATP,6ln3_ATP_model_19_chainB_pH74,"(1, -1, -1)","(1, 0, 2)",27.27272727272727,"[(4, 7), (8, 9), (8, 12), (12, 13), (13, 14), (15, 20), (16, 17), (18, 19), (18, 20)]"
1.7325846932772702,6ln3_ATP,6ln3_ATP_model_20_chainB_pH74,"(1, 1, -1)","(1, 0, 2)",21.21212121212121,"[(0, 2), (4, 6), (4, 7), (8, 11), (8, 12), (16, 17), (18, 19)]"
