RMSD(ArbAlign),nameA,nameB
1.318619408423627,8w4x_BGCGLC,8w4x_BGCGLC_conf0
1.4513145628405673,8w4x_BGCGLC,8w4x_BGCGLC_conf1
1.230185938290994,8w4x_BGCGLC,8w4x_BGCGLC_conf2
1.4558811250744474,8w4x_BGCGLC,8w4x_BGCGLC_conf3
1.785351432079621,8w4x_BGCGLC,8w4x_BGCGLC_conf4
1.5668314176474327,8w4x_BGCGLC,8w4x_BGCGLC_conf5
1.555658116140888,8w4x_BGCGLC,8w4x_BGCGLC_conf6
1.4781207820294129,8w4x_BGCGLC,8w4x_BGCGLC_conf7
0.9358492448919267,8w4x_BGCGLC,8w4x_BGCGLC_conf8
1.7955932255444202,8w4x_BGCGLC,8w4x_BGCGLC_conf9
1.0862231290483062,8w4x_BGCGLC,8w4x_BGCGLC_conf10
1.1181804988893451,8w4x_BGCGLC,8w4x_BGCGLC_conf11
1.250125228270035,8w4x_BGCGLC,8w4x_BGCGLC_conf12
1.3079216074860123,8w4x_BGCGLC,8w4x_BGCGLC_conf13
1.2269855623142552,8w4x_BGCGLC,8w4x_BGCGLC_conf14
0.9856179073777539,8w4x_BGCGLC,8w4x_BGCGLC_conf15
1.3465510242090495,8w4x_BGCGLC,8w4x_BGCGLC_conf16
1.2240924139138274,8w4x_BGCGLC,8w4x_BGCGLC_conf17
1.2659118752260006,8w4x_BGCGLC,8w4x_BGCGLC_conf18
1.1158658651132602,8w4x_BGCGLC,8w4x_BGCGLC_conf19
1.2172246948380259,8w4x_BGCGLC,8w4x_BGCGLC_conf20
1.0353326837349337,8w4x_BGCGLC,8w4x_BGCGLC_conf21
1.2741049343415805,8w4x_BGCGLC,8w4x_BGCGLC_conf22
1.3802224502260256,8w4x_BGCGLC,8w4x_BGCGLC_conf23
1.2199798176661674,8w4x_BGCGLC,8w4x_BGCGLC_conf24
1.5678989851610192,8w4x_BGCGLC,8w4x_BGCGLC_conf25
1.2488892563920302,8w4x_BGCGLC,8w4x_BGCGLC_conf26
1.6087872318001595,8w4x_BGCGLC,8w4x_BGCGLC_conf27
1.4834514731606772,8w4x_BGCGLC,8w4x_BGCGLC_conf28
1.4916483343782596,8w4x_BGCGLC,8w4x_BGCGLC_conf29
1.3644335145609057,8w4x_BGCGLC,8w4x_BGCGLC_conf30
1.4336660350636463,8w4x_BGCGLC,8w4x_BGCGLC_conf31
1.1861118077302684,8w4x_BGCGLC,8w4x_BGCGLC_conf32
1.2181536729448443,8w4x_BGCGLC,8w4x_BGCGLC_conf33
1.3404589044628779,8w4x_BGCGLC,8w4x_BGCGLC_conf34
1.000867394846573,8w4x_BGCGLC,8w4x_BGCGLC_conf35
1.2888474131368624,8w4x_BGCGLC,8w4x_BGCGLC_conf36
1.0817656327892264,8w4x_BGCGLC,8w4x_BGCGLC_conf37
1.2484006282084636,8w4x_BGCGLC,8w4x_BGCGLC_conf38
1.361977088113692,8w4x_BGCGLC,8w4x_BGCGLC_conf39
1.369529821747145,8w4x_BGCGLC,8w4x_BGCGLC_conf40
0.7733422448542943,8w4x_BGCGLC,8w4x_BGCGLC_conf41
1.23500782586329,8w4x_BGCGLC,8w4x_BGCGLC_conf42
1.3056483667930407,8w4x_BGCGLC,8w4x_BGCGLC_conf43
1.526898912061131,8w4x_BGCGLC,8w4x_BGCGLC_conf44
1.0671398560055818,8w4x_BGCGLC,8w4x_BGCGLC_conf45
1.0041310640612529,8w4x_BGCGLC,8w4x_BGCGLC_conf46
1.1751757870414423,8w4x_BGCGLC,8w4x_BGCGLC_conf47
1.597793666915926,8w4x_BGCGLC,8w4x_BGCGLC_conf48
0.9987250678609639,8w4x_BGCGLC,8w4x_BGCGLC_conf49
