RMSD(ArbAlign),nameA,nameB,reflect,swap,BCI (%),mismatched bond indices
0.6606846545893685,8w4x_BGCGLC,8w4x_sugars_model_0_chainC_pH74,"(-1, -1, -1)","(1, 0, 2)",15.0,"[(9, 17), (12, 13), (17, 21)]"
0.4684733605138163,8w4x_BGCGLC,8w4x_sugars_model_1_chainC_pH74,"(1, 1, -1)","(2, 1, 0)",0.0,[]
1.368842543338476,8w4x_BGCGLC,8w4x_sugars_model_2_chainC_pH74,"(1, 1, 1)","(2, 0, 1)",60.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (4, 10), (5, 11), (9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
0.7709950061955443,8w4x_BGCGLC,8w4x_sugars_model_3_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)",30.0,"[(9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
0.4900450808021033,8w4x_BGCGLC,8w4x_sugars_model_4_chainC_pH74,"(1, -1, -1)","(2, 0, 1)",0.0,[]
0.4742704398992796,8w4x_BGCGLC,8w4x_sugars_model_5_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)",0.0,[]
0.7863019445033324,8w4x_BGCGLC,8w4x_sugars_model_6_chainC_pH74,"(-1, 1, -1)","(2, 0, 1)",30.0,"[(9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
1.0874570316860264,8w4x_BGCGLC,8w4x_sugars_model_7_chainC_pH74,"(1, -1, 1)","(2, 1, 0)",15.0,"[(12, 17), (13, 14), (15, 21)]"
1.4046763700624647,8w4x_BGCGLC,8w4x_sugars_model_8_chainC_pH74,"(-1, 1, 1)","(2, 1, 0)",30.0,"[(0, 1), (4, 10), (12, 17), (13, 14), (15, 21), (16, 22)]"
1.531619492699204,8w4x_BGCGLC,8w4x_sugars_model_9_chainC_pH74,"(1, -1, 1)","(0, 1, 2)",30.0,"[(0, 10), (1, 2), (4, 5), (12, 17), (15, 16), (15, 21)]"
0.7888334009689698,8w4x_BGCGLC,8w4x_sugars_model_10_chainC_pH74,"(1, 1, -1)","(2, 1, 0)",30.0,"[(9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
1.3814778799294702,8w4x_BGCGLC,8w4x_sugars_model_11_chainC_pH74,"(1, -1, 1)","(1, 0, 2)",40.0,"[(0, 1), (3, 4), (4, 10), (5, 11), (12, 17), (13, 14), (15, 21), (16, 22)]"
1.288909889788167,8w4x_BGCGLC,8w4x_sugars_model_12_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)",50.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
1.360715848415533,8w4x_BGCGLC,8w4x_sugars_model_13_chainC_pH74,"(1, 1, -1)","(2, 1, 0)",40.0,"[(0, 1), (1, 7), (2, 3), (4, 10), (12, 17), (13, 14), (14, 15), (15, 21)]"
1.4420033236358405,8w4x_BGCGLC,8w4x_sugars_model_14_chainC_pH74,"(1, 1, -1)","(1, 2, 0)",15.0,"[(3, 9), (12, 17), (15, 21)]"
0.4776846550720715,8w4x_BGCGLC,8w4x_sugars_model_15_chainC_pH74,"(1, 1, -1)","(1, 0, 2)",0.0,[]
0.7867549932239936,8w4x_BGCGLC,8w4x_sugars_model_16_chainC_pH74,"(1, 1, 1)","(1, 2, 0)",30.0,"[(9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
1.461468584867581,8w4x_BGCGLC,8w4x_sugars_model_17_chainC_pH74,"(-1, -1, 1)","(1, 0, 2)",30.0,"[(0, 10), (1, 2), (4, 5), (12, 17), (13, 14), (15, 16)]"
1.40709290676232,8w4x_BGCGLC,8w4x_sugars_model_18_chainC_pH74,"(-1, -1, -1)","(1, 0, 2)",60.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (4, 10), (5, 11), (9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
0.7824684769992589,8w4x_BGCGLC,8w4x_sugars_model_19_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)",30.0,"[(9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
1.192230995979273,8w4x_BGCGLC,8w4x_sugars_model_20_chainC_pH74,"(1, 1, -1)","(1, 0, 2)",50.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
1.060790310059884,8w4x_BGCGLC,8w4x_sugars_model_21_chainC_pH74,"(1, -1, 1)","(2, 0, 1)",15.0,"[(9, 17), (12, 13), (17, 21)]"
1.4580535898469862,8w4x_BGCGLC,8w4x_sugars_model_22_chainC_pH74,"(1, -1, 1)","(0, 2, 1)",45.0,"[(0, 10), (3, 4), (3, 9), (4, 5), (5, 11), (12, 17), (13, 14), (14, 15), (15, 21)]"
1.1271391176571988,8w4x_BGCGLC,8w4x_sugars_model_23_chainC_pH74,"(-1, 1, -1)","(0, 1, 2)",35.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (13, 14), (15, 16), (15, 21)]"
1.180664905461925,8w4x_BGCGLC,8w4x_sugars_model_24_chainC_pH74,"(-1, 1, -1)","(0, 1, 2)",30.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (4, 10), (5, 11)]"
1.0296247793873263,8w4x_BGCGLC,8w4x_sugars_model_25_chainC_pH74,"(1, -1, -1)","(0, 1, 2)",20.0,"[(0, 1), (0, 10), (2, 3), (3, 4)]"
1.1909928346277998,8w4x_BGCGLC,8w4x_sugars_model_26_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)",30.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (4, 10), (5, 11)]"
1.1492123425461112,8w4x_BGCGLC,8w4x_sugars_model_27_chainC_pH74,"(-1, -1, 1)","(0, 1, 2)",35.0,"[(0, 1), (0, 10), (1, 7), (3, 4), (13, 14), (15, 16), (15, 21)]"
1.3004671158724908,8w4x_BGCGLC,8w4x_sugars_model_28_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)",60.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (4, 10), (5, 11), (9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
1.1461860691779655,8w4x_BGCGLC,8w4x_sugars_model_29_chainC_pH74,"(-1, 1, -1)","(2, 0, 1)",20.0,"[(0, 1), (0, 10), (2, 3), (3, 4)]"
1.5313696839684716,8w4x_BGCGLC,8w4x_sugars_model_30_chainC_pH74,"(-1, -1, 1)","(0, 1, 2)",60.0,"[(0, 6), (1, 2), (1, 7), (2, 3), (3, 4), (3, 9), (4, 5), (4, 10), (5, 11), (12, 17), (13, 14), (15, 21)]"
1.1866731831409478,8w4x_BGCGLC,8w4x_sugars_model_31_chainC_pH74,"(1, -1, -1)","(1, 2, 0)",30.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (4, 10), (5, 11)]"
1.2115090835355995,8w4x_BGCGLC,8w4x_sugars_model_32_chainC_pH74,"(-1, 1, -1)","(1, 2, 0)",50.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (9, 17), (12, 13), (13, 14), (15, 16), (15, 21), (17, 21)]"
1.1760616967530857,8w4x_BGCGLC,8w4x_sugars_model_33_chainC_pH74,"(-1, -1, 1)","(2, 0, 1)",30.0,"[(0, 1), (0, 10), (2, 3), (3, 4), (4, 10), (5, 11)]"
1.0251157915694171,8w4x_BGCGLC,8w4x_sugars_model_34_chainC_pH74,"(-1, -1, -1)","(0, 2, 1)",20.0,"[(0, 1), (0, 10), (2, 3), (3, 4)]"
1.0098624641333636,8w4x_BGCGLC,8w4x_sugars_model_35_chainC_pH74,"(1, -1, 1)","(0, 2, 1)",20.0,"[(0, 1), (0, 10), (2, 3), (3, 4)]"
1.6516575679620962,8w4x_BGCGLC,8w4x_sugars_model_36_chainC_pH74,"(-1, 1, -1)","(1, 0, 2)",15.0,"[(9, 17), (12, 13), (15, 21)]"
