RMSD(ArbAlign),nameA,nameB,reflect,swap
0.09614677343699317,8w4x_BGC,8w4x_sugars_model_0_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
0.8014570632686433,8w4x_BGC,8w4x_sugars_model_1_chainB_pH74,"(1, 1, 1)","(2, 1, 0)"
0.8192692576803271,8w4x_BGC,8w4x_sugars_model_2_chainB_pH74,"(-1, 1, 1)","(1, 2, 0)"
0.08406314109709138,8w4x_BGC,8w4x_sugars_model_3_chainB_pH74,"(-1, -1, -1)","(2, 1, 0)"
0.8132241262484425,8w4x_BGC,8w4x_sugars_model_4_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)"
0.08297763207377379,8w4x_BGC,8w4x_sugars_model_5_chainB_pH74,"(-1, -1, -1)","(2, 1, 0)"
0.08110922656567103,8w4x_BGC,8w4x_sugars_model_6_chainB_pH74,"(1, 1, -1)","(1, 0, 2)"
0.07723897831173819,8w4x_BGC,8w4x_sugars_model_7_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
0.8201429016836893,8w4x_BGC,8w4x_sugars_model_8_chainB_pH74,"(1, 1, -1)","(1, 2, 0)"
0.8246420906017811,8w4x_BGC,8w4x_sugars_model_9_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)"
0.818455709876469,8w4x_BGC,8w4x_sugars_model_10_chainB_pH74,"(1, 1, 1)","(0, 2, 1)"
0.07974579356079581,8w4x_BGC,8w4x_sugars_model_11_chainB_pH74,"(-1, -1, -1)","(0, 2, 1)"
0.09595839722515452,8w4x_BGC,8w4x_sugars_model_12_chainB_pH74,"(1, -1, -1)","(0, 1, 2)"
0.8815758765589082,8w4x_BGC,8w4x_sugars_model_13_chainB_pH74,"(-1, 1, 1)","(2, 1, 0)"
0.07749487182913323,8w4x_BGC,8w4x_sugars_model_14_chainB_pH74,"(1, 1, -1)","(1, 0, 2)"
0.5305516938453966,8w4x_BGC,8w4x_sugars_model_15_chainB_pH74,"(1, 1, 1)","(0, 1, 2)"
