Memory_Usage_MB,RMSD(ArbAlign),nameA,nameB
0.01171875,"(0.3156795628351814, (2, 0, 1), (1, 1, -1))",2-Cs-1,2-OpenC1
0.0859375,"(0.3095436270556617, (2, 0, 1), (1, 1, -1))",3-UUD,3-UUU
0.10546875,"(0.4939862594397265, (1, 0, 2), (-1, 1, 1))",4-Ci,4-S4
0.11328125,"(0.7561391920617178, (0, 2, 1), (1, -1, 1))",5-CA-A,5-CA-B
0.140625,"(1.1866548256815874, (0, 1, 2), (-1, -1, -1))",6-BAG,6-BK-1
0.07421875,"(0.45042508725308283, (0, 1, 2), (-1, -1, -1))",7-BI1,7-BI2
0.11328125,"(0.37226494447320624, (0, 1, 2), (1, 1, 1))",8-D2d,8-S4
0.109375,"(0.36523903291823856, (0, 1, 2), (1, 1, 1))",9-D2dDD,9-S4DA
0.20703125,"(0.3379285075317387, (1, 0, 2), (-1, -1, 1))",10-PP1,10-PP2
0.08984375,"(0.9575347776552596, (1, 2, 0), (-1, -1, -1))",11-551A-1,11-551A-4
0.10546875,"(0.38216414580200847, (0, 1, 2), (1, 1, 1))",12-D2d-1-L,12-D2d-1-R
0.07421875,"(1.5214902005430149, (1, 0, 2), (-1, -1, -1))",13-TIP4P,13-TIP5P
0.1796875,"(0.8118111562912138, (2, 0, 1), (-1, -1, -1))",14-1,14-2
0.09765625,"(1.377101589330962, (0, 1, 2), (1, -1, -1))",15-1,15-2
0.08203125,"(1.9472014388044327, (0, 1, 2), (-1, -1, 1))",16-TIP4P,16-TIP5P
0.05859375,"(1.3454468129613473, (0, 1, 2), (1, 1, -1))",17-TIP4P,17-TIP5P
0.06640625,"(1.6538669596420432, (2, 1, 0), (-1, 1, 1))",18-TIP4P,18-TIP5P
0.05859375,"(1.59445936372813, (1, 0, 2), (1, 1, 1))",19-TIP4P,19-TIP5P
0.140625,"(1.7630113055704741, (1, 0, 2), (1, 1, 1))",20-TIP4P,20-TIP5P
0.23828125,"(1.5382280024165922, (1, 2, 0), (1, 1, -1))",21-TIP4P,21-TIP5P
0.1640625,"(2.5458958536461784, (1, 0, 2), (-1, -1, 1))",25-1,25-2
1.23828125,"(2.1762071033718597, (0, 1, 2), (-1, 1, -1))",40-a,40-b
2.046875,"(1.9275185374250499, (0, 1, 2), (1, -1, 1))",60-1,60-2
6.6875,"(1.9671982865031477, (0, 1, 2), (1, 1, 1))",100-1,100-2
