RMSD(ArbAlign),nameA,nameB,time
0.31569660184339016,2-Cs-1,2-OpenC1,0.03021097183227539
0.47966565335615485,3-UUD,3-UUU,0.016232967376708984
0.4939862594397265,4-Ci,4-S4,0.024248838424682617
0.7561391920617178,5-CA-A,5-CA-B,0.0332188606262207
1.2109477914709392,6-BAG,6-BK-1,0.04363393783569336
0.7215286536314207,7-BI1,7-BI2,0.05512499809265137
0.37226494447320624,8-D2d,8-S4,0.06988787651062012
0.36523903291823856,9-D2dDD,9-S4DA,0.084136962890625
0.7244983392227287,10-PP1,10-PP2,0.10484504699707031
1.0186828059799549,11-551A-1,11-551A-4,0.12094902992248535
0.38216414580200847,12-D2d-1-L,12-D2d-1-R,0.13705706596374512
1.5214902005430149,13-TIP4P,13-TIP5P,0.1832900047302246
0.9763144967996482,14-1,14-2,0.1884920597076416
1.377101589330962,15-1,15-2,0.21873998641967773
1.9472014388044327,16-TIP4P,16-TIP5P,0.24213194847106934
1.405522848986858,17-TIP4P,17-TIP5P,0.26893091201782227
1.6538669596420432,18-TIP4P,18-TIP5P,0.2942638397216797
1.70275010401387,19-TIP4P,19-TIP5P,0.32950401306152344
1.8902041330153718,20-TIP4P,20-TIP5P,0.35719990730285645
1.5460481273311437,21-TIP4P,21-TIP5P,0.39734697341918945
2.9233892168224855,25-1,25-2,0.5529038906097412
2.1762071033718597,40-a,40-b,1.3825199604034424
1.9825061334502676,60-1,60-2,3.5929958820343018
1.9671982865031477,100-1,100-2,8.851806879043579
