nameA,nameB,# mismatched water molecules
Wat_3_cluster_0_lowest_1.xyz,Wat_3_cluster_1_lowest_2.xyz,0
Wat_4_cluster_2_lowest_1.xyz,Wat_4_cluster_10_lowest_9.xyz,2
Wat_5_cluster_13_lowest_2.xyz,Wat_5_cluster_22_lowest_11.xyz,2
Wat_6_cluster_42_lowest_12.xyz,Wat_6_cluster_50_lowest_20.xyz,0
Wat_7_cluster_137_lowest_1.xyz,Wat_7_cluster_147_lowest_11.xyz,6
Wat_8_cluster_615_lowest_9.xyz,Wat_8_cluster_616_lowest_10.xyz,7
Wat_9_cluster_1184_lowest_1.xyz,Wat_9_cluster_1195_lowest_12.xyz,8
Wat_10_cluster_5323_lowest_14.xyz,Wat_10_cluster_5324_lowest_15.xyz,9
Wat_11_cluster_33413_lowest_1.xyz,Wat_11_cluster_33415_lowest_3.xyz,10
Wat_12_cluster_43582_lowest_1.xyz,Wat_12_cluster_43599_lowest_18.xyz,10
Wat_13_cluster_86223_lowest_1.xyz,Wat_13_cluster_86236_lowest_14.xyz,13
Wat_14_cluster_144683_lowest_9.xyz,Wat_14_cluster_144693_lowest_19.xyz,13
Wat_15_cluster_225216_lowest_9.xyz,Wat_15_cluster_225222_lowest_15.xyz,13
Wat_16_cluster_321029_lowest_2.xyz,Wat_16_cluster_321036_lowest_9.xyz,12
Wat_17_cluster_417889_lowest_3.xyz,Wat_17_cluster_417896_lowest_10.xyz,17
Wat_18_cluster_524876_lowest_3.xyz,Wat_18_cluster_524883_lowest_10.xyz,12
Wat_19_cluster_637554_lowest_2.xyz,Wat_19_cluster_637555_lowest_3.xyz,14
Wat_20_cluster_744373_lowest_13.xyz,Wat_20_cluster_744380_lowest_20.xyz,19
Wat_21_cluster_865752_lowest_14.xyz,Wat_21_cluster_865754_lowest_16.xyz,17
Wat_22_cluster_1179802_lowest_4.xyz,Wat_22_cluster_1179808_lowest_10.xyz,20
Wat_23_cluster_1574526_lowest_17.xyz,Wat_23_cluster_1574529_lowest_20.xyz,22
Wat_24_cluster_1928487_lowest_14.xyz,Wat_24_cluster_1928493_lowest_19.xyz,22
Wat_25_cluster_2243818_lowest_16.xyz,Wat_25_cluster_2243821_lowest_19.xyz,20
Wat_26_cluster_2726711_lowest_2.xyz,Wat_26_cluster_2726725_lowest_16.xyz,23
Wat_27_cluster_3257215_lowest_3.xyz,Wat_27_cluster_3257225_lowest_13.xyz,25
Wat_28_cluster_3649363_lowest_6.xyz,Wat_28_cluster_3649374_lowest_17.xyz,21
Wat_29_cluster_3925402_lowest_8.xyz,Wat_29_cluster_3925412_lowest_18.xyz,23
Wat_30_cluster_4221227_lowest_2.xyz,Wat_30_cluster_4221240_lowest_15.xyz,26
