nameA,nameB,method,RMSD(otmol),memory_used
2-Cs-1.xyz,2-OpenC1.xyz,sOT,0.3156795628351816,0.01171875
3-UUD.xyz,3-UUU.xyz,sOT,0.3095436270556613,0.24609375
4-Ci.xyz,4-S4.xyz,sOT,0.493986259446845,0.01953125
5-CA-A.xyz,5-CA-B.xyz,sOT,0.7561391920617176,0.0234375
6-BAG.xyz,6-BK-1.xyz,sOT,1.0396720975598668,0.03515625
7-BI1.xyz,7-BI2.xyz,sOT,0.45042508725308267,0.01953125
8-D2d.xyz,8-S4.xyz,sOT,0.6063086293512906,0.0625
9-D2dDD.xyz,9-S4DA.xyz,sOT,0.6406989561890263,0.19140625
10-PP1.xyz,10-PP2.xyz,sOT,0.638440217719683,0.23828125
11-551A-1.xyz,11-551A-4.xyz,sOT,0.13688867337895688,0.05078125
12-D2d-1-L.xyz,12-D2d-1-R.xyz,sOT,0.5141389955096731,0.08203125
13-TIP4P.xyz,13-TIP5P.xyz,sOT,1.2281718562534663,0.05078125
14-1.xyz,14-2.xyz,sOT,0.5519288333105362,0.22265625
15-1.xyz,15-2.xyz,sOT,1.232074710305497,0.1484375
16-TIP4P.xyz,16-TIP5P.xyz,sOT,1.6074354693010982,0.0703125
17-TIP4P.xyz,17-TIP5P.xyz,sOT,1.223760938465672,0.078125
18-TIP4P.xyz,18-TIP5P.xyz,sOT,1.4971614302694902,0.1171875
19-TIP4P.xyz,19-TIP5P.xyz,sOT,1.4174287112677206,0.18359375
20-TIP4P.xyz,20-TIP5P.xyz,sOT,1.8176104578148902,0.3046875
21-TIP4P.xyz,21-TIP5P.xyz,sOT,1.3870930695702124,0.15625
25-1.xyz,25-2.xyz,sOT,0.9644449538851806,0.09765625
40-a.xyz,40-b.xyz,sOT,2.2757698751241895,2.5625
60-1.xyz,60-2.xyz,sOT,2.0599262203388453,4.3828125
100-1.xyz,100-2.xyz,sOT,2.079195785379236,20.05859375
