nameA,nameB,method,RMSD(OTMol),# atoms,time,assignment
Wat_3_cluster_0_1st_lowest.xyz,Wat_3_cluster_1_2nd_lowest.xyz,emd,1.4939491208167426,9,0.4216468334197998,[3 4 5 6 8 7 0 2 1]
Wat_4_cluster_2_1st_lowest.xyz,Wat_4_cluster_3_2nd_lowest.xyz,emd,0.9541858398950138,12,0.42626404762268066,[ 0  1  2  6  8  7  3  4  5  9 11 10]
Wat_5_cluster_12_1st_lowest.xyz,Wat_5_cluster_13_2nd_lowest.xyz,emd,0.1333124575384126,15,0.4400050640106201,[ 9 11 10 12 13 14  3  5  4  0  1  2  6  7  8]
Wat_6_cluster_31_1st_lowest.xyz,Wat_6_cluster_32_2nd_lowest.xyz,emd,0.21765242236835572,18,0.4269440174102783,[15 16 17  9 11 10  6  8  7  0  2  1  3  5  4 12 13 14]
Wat_7_cluster_137_1st_lowest.xyz,Wat_7_cluster_138_2nd_lowest.xyz,emd,0.7789267889779151,21,0.529015064239502,[ 0  1  2  3  4  5  6  8  7  9 10 11 12 13 14 15 17 16 18 19 20]
Wat_8_cluster_607_1st_lowest.xyz,Wat_8_cluster_608_2nd_lowest.xyz,emd,0.6072046036937423,24,0.46370697021484375,[ 0  1  2  6  8  7  9 10 11 21 22 23 15 17 16 18 19 20  3  5  4 12 14 13]
Wat_9_cluster_1184_1st_lowest.xyz,Wat_9_cluster_1185_2nd_lowest.xyz,emd,0.5814188223013466,27,0.47829294204711914,"[21 23 22 12 13 14  6  7  8  9 11 10  0  2  1 24 26 25 18 19 20 15 16 17
  3  5  4]"
Wat_10_cluster_5310_1st_lowest.xyz,Wat_10_cluster_5311_2nd_lowest.xyz,emd,0.6253297469870337,30,0.5961189270019531,"[12 13 14 24 25 26  9 10 11  3  5  4  6  7  8 27 28 29 18 20 19 21 23 22
  0  2  1 15 17 16]"
Wat_11_cluster_33413_1st_lowest.xyz,Wat_11_cluster_33414_2nd_lowest.xyz,emd,0.9101463244708902,33,0.5423910617828369,"[ 9 10 11 27 28 29 12 13 14 15 17 16 24 25 26  0  1  2 18 19 20 30 32 31
  6  8  7 21 23 22  3  4  5]"
Wat_12_cluster_43582_1st_lowest.xyz,Wat_12_cluster_43583_2nd_lowest.xyz,emd,0.5057728096816121,36,0.6310169696807861,"[ 0  2  1 12 13 14 21 22 23 18 20 19  9 11 10 27 28 29 30 32 31 15 16 17
 24 26 25 33 35 34  3  5  4  6  7  8]"
Wat_13_cluster_86223_1st_lowest.xyz,Wat_13_cluster_86224_2nd_lowest.xyz,emd,0.4931530923955844,39,0.5233590602874756,"[12 14 13 24 26 25 27 29 28 15 16 17 33 34 35  6  8  7 36 37 38 21 23 22
 18 19 20  0  2  1 30 31 32  3  5  4  9 11 10]"
Wat_14_cluster_144675_1st_lowest.xyz,Wat_14_cluster_144676_2nd_lowest.xyz,emd,0.48188232382591906,42,0.6328339576721191,"[30 31 32  6  8  7 24 26 25 18 19 20 12 13 14 21 22 23 33 35 34 36 37 38
  9 11 10 39 41 40  0  2  1 27 29 28 15 17 16  3  5  4]"
Wat_15_cluster_225208_1st_lowest.xyz,Wat_15_cluster_225209_2nd_lowest.xyz,emd,0.5177058254743481,45,0.7822761535644531,"[21 23 22 18 20 19 27 29 28 36 37 38 39 40 41 30 32 31  3  4  5 42 43 44
  9 11 10 24 25 26  0  1  2 33 34 35 15 16 17 12 13 14  6  8  7]"
Wat_16_cluster_321028_1st_lowest.xyz,Wat_16_cluster_321029_2nd_lowest.xyz,emd,0.4433422912971093,48,0.7093498706817627,"[ 6  7  8 12 14 13 33 34 35  9 11 10  0  2  1 24 26 25  3  5  4 30 32 31
 21 22 23 27 28 29 39 40 41 36 38 37 15 16 17 45 46 47 42 43 44 18 19 20]"
Wat_17_cluster_417887_1st_lowest.xyz,Wat_17_cluster_417888_2nd_lowest.xyz,emd,1.1982209565868116,51,0.7678956985473633,"[21 23 22 30 31 32 42 44 43 24 26 25  0  2  1  6  7  8 15 17 16  3  5  4
 27 29 28 12 14 13 33 35 34 39 40 41  9 11 10 45 47 46 36 38 37 18 20 19
 48 49 50]"
Wat_18_cluster_524874_1st_lowest.xyz,Wat_18_cluster_524875_2nd_lowest.xyz,emd,1.450747931841974,54,0.8672540187835693,"[ 9 10 11 12 14 13 39 41 40 21 23 22 42 44 43 51 53 52 30 32 31  0  1  2
 15 17 16  3  5  4 18 19 20 48 49 50 45 46 47 33 35 34 24 26 25 36 38 37
  6  8  7 27 28 29]"
Wat_19_cluster_637553_1st_lowest.xyz,Wat_19_cluster_637554_2nd_lowest.xyz,emd,0.5955262369704207,57,0.9936618804931641,"[ 9 10 11 15 16 17 21 23 22 42 44 43 27 29 28 54 56 55 30 31 32 36 38 37
 33 34 35  6  7  8 18 19 20 39 41 40  0  1  2  3  4  5 48 50 49 51 53 52
 45 47 46 24 25 26 12 14 13]"
