nameA,nameB,RMSD(OTMol),alpha,mismatch_bond,assignment
1ln1_DLP,1ln1_DLP_conf0,4.956857268685251,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf1,6.503685949725692,,0,"[ 0  1  2  3  4  7  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf2,5.551200695137789,,1,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf3,4.509755357300606,,2,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf4,4.425341378774354,,1,"[ 0  1  2  3  4  6  7  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf5,4.122663108359444,,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf6,4.73974477163613,,1,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf7,4.205743166611934,,1,"[ 0  1  2  3  4  6  7  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf8,4.538813968105411,,0,"[ 0  1  2  3  4  6  7  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf9,5.424869718186608,,0,"[ 0  1  2  3  4  5  7  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf10,6.096154588901272,,0,"[ 0  1  2  3  4  7  6  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf11,5.5574600610245275,,0,"[ 0  1  2  3  4  6  7  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf12,5.071531069136453,,1,"[ 0  1  2  3  4  6  7  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf13,4.739050634526606,,1,"[ 0  1  2  3  4  7  6  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf14,6.354480638468658,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf15,4.3455852736335885,,1,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
