nameA,nameB,RMSD(OTMol),alpha,BCI (%),assignment
1ln1_DLP,1ln1_DLP_model_0_chainB_pH74,1.2662923472819456,0.89,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 26 25 23 27 24]"
1ln1_DLP,1ln1_DLP_model_1_chainB_pH74,1.2069135264995192,0.68,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 25 26 23 27 24]"
1ln1_DLP,1ln1_DLP_model_2_chainB_pH74,1.2300848358976761,0.6900000000000001,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 25 26 23 27 24]"
1ln1_DLP,1ln1_DLP_model_3_chainB_pH74,1.1275634751324464,0.86,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 25 26 23 27 24]"
1ln1_DLP,1ln1_DLP_model_4_chainB_pH74,1.0866872120142343,0.9,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 25 26 23 27 24]"
1ln1_DLP,1ln1_DLP_model_5_chainB_pH74,1.2805390965317518,0.74,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 26 25 23 27 24]"
1ln1_DLP,1ln1_DLP_model_6_chainB_pH74,1.1638815761382413,0.74,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 25 26 23 27 24]"
1ln1_DLP,1ln1_DLP_model_7_chainB_pH74,1.1667328555599874,0.73,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 25 26 23 27 24]"
1ln1_DLP,1ln1_DLP_model_8_chainB_pH74,1.2304610328505514,0.77,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 25 26 23 27 24]"
1ln1_DLP,1ln1_DLP_model_9_chainB_pH74,1.2193463655630243,0.89,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 26 25 23 27 24]"
1ln1_DLP,1ln1_DLP_model_10_chainB_pH74,1.2217177878181211,0.74,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 25 26 23 27 24]"
1ln1_DLP,1ln1_DLP_model_11_chainB_pH74,1.2739910925625244,0.99,0.0,"[22 21 20 28 29 32 33 31 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 26 25 23 27 24]"
1ln1_DLP,1ln1_DLP_model_12_chainB_pH74,1.2330961815761183,0.9500000000000001,0.0,"[22 21 20 28 29 31 33 32 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  1  0 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 30 34 19 18
 36 25 26 23 27 24]"
