nameA,nameB,RMSD(OTMol),alpha,mismatch_bond,assignment
215d_DNA,215d_DNA_conf0,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf1,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf2,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf3,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf4,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf5,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf6,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf7,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf8,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf9,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf10,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf11,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf12,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf13,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf14,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf15,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf16,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf17,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf18,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf19,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf20,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf21,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf22,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf23,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf24,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf25,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf26,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf27,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf28,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf29,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf30,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf31,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf32,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf33,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf34,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf35,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf36,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf37,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf38,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf39,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf40,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf41,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf42,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf43,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf44,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf45,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf46,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf47,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf48,10000000000.0,,10000000000.0,
215d_DNA,215d_DNA_conf49,10000000000.0,,10000000000.0,
