nameA,nameB,RMSD(OTMol),alpha,mismatch_bond,assignment
6ln3_ATP,6ln3_ATP_conf0,2.280800073941684,,3,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf1,2.967859024828305,,2,"[ 0  1  3  2  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf2,2.7201282220181366,,2,"[ 0  3  1  2  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf3,2.15096641212881,,2,"[ 0  2  1  3  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf4,2.024943708830344,,1,"[ 0  2  3  1  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf5,2.0900536842423736,,1,"[ 0  1  3  2  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf6,2.2374297879244085,,0,"[ 0  2  1  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf7,2.001359989332246,,2,"[ 0  2  1  3  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf8,2.236100803451297,,0,"[ 0  3  1  2  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf9,2.0239391107987434,,1,"[ 0  2  3  1  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf10,2.476260907844085,,1,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf11,2.150382774859734,,3,"[ 0  1  2  3  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf12,2.241952788876712,,1,"[ 0  3  1  2  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf13,3.140086571355134,,2,"[ 0  1  2  3  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf14,2.143388685452956,,2,"[ 0  3  1  2  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf15,2.157176598291946,,0,"[ 0  2  3  1  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf16,2.77283812828021,,1,"[ 0  2  3  1  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf17,3.1571517348929685,,2,"[ 0  2  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf18,2.6056050159085697,,0,"[ 0  3  2  1  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf19,2.1053082585595337,,2,"[ 0  2  3  1  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf20,2.19076548812771,,0,"[ 0  1  3  2  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf21,3.2626573347540746,,0,"[ 0  2  3  1  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf22,2.7700185658219367,,1,"[ 0  1  3  2  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf23,3.1079425084385206,,1,"[ 0  1  2  3  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf24,2.851766226516626,,0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf25,2.7126165150814896,,1,"[ 0  2  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf26,2.561632889125947,,1,"[ 0  3  1  2  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf27,1.9167948833648476,,2,"[ 0  1  3  2  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf28,3.3294419496301986,,0,"[ 0  2  3  1  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf29,2.8860767193869217,,0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf30,2.8554468199307546,,3,"[ 0  3  1  2  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf31,2.4441305407856326,,1,"[ 0  1  3  2  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf32,1.7403558140413893,,2,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf33,2.5933631824946213,,3,"[ 0  3  2  1  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf34,2.35736564422526,,3,"[ 0  3  1  2  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf35,2.3905000009544435,,1,"[ 0  3  1  2  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf36,2.667221173421315,,1,"[ 0  1  2  3  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf37,2.0363076856665248,,1,"[ 0  3  2  1  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf38,3.073684111387801,,1,"[ 0  2  3  1  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf39,2.8565537844626556,,2,"[ 0  1  3  2  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf40,2.3472321477297893,,0,"[ 0  2  3  1  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf41,2.3808532558244773,,1,"[ 0  2  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf42,2.6055187454417252,,3,"[ 0  3  1  2  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf43,1.6798136449603662,,2,"[ 0  2  1  3  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf44,1.9415791915324563,,1,"[ 0  2  3  1  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf45,2.8177934280149692,,0,"[ 0  2  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf46,2.3261796959646923,,2,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf47,2.641405015841765,,3,"[ 0  2  3  1  4  6  5  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf48,1.830452390905184,,2,"[ 0  2  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
6ln3_ATP,6ln3_ATP_conf49,2.2476281588765747,,2,"[ 0  3  1  2  4  5  6  7  8 10  9 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]"
