nameA,nameB,RMSD(OTMol),alpha,BCI (%),assignment
6ln3_ATP,6ln3_ATP_model_0_chainB_pH74,2.0707719556910855,0.44,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_1_chainB_pH74,2.0418194028870946,0.93,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_2_chainB_pH74,2.0725505919372122,0.23,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_3_chainB_pH74,2.064313527780124,0.53,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_4_chainB_pH74,2.0912092276808845,0.15,0.0,"[23 26 25 24 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_5_chainB_pH74,2.056492199082553,0.43,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_6_chainB_pH74,2.081218126199151,0.43,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_7_chainB_pH74,2.081051490365553,0.6,0.0,"[23 26 24 25 19 21 20 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_8_chainB_pH74,2.1090905132778794,0.74,0.0,"[23 25 24 26 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_9_chainB_pH74,2.0750976700755306,0.52,0.0,"[23 26 24 25 19 21 20 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_10_chainB_pH74,2.0579950360866786,0.52,0.0,"[23 26 24 25 19 21 20 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_11_chainB_pH74,2.0948533977372024,0.32,0.0,"[23 26 24 25 19 21 20 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_12_chainB_pH74,2.0576757099432066,0.91,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_13_chainB_pH74,2.052260733568219,0.34,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_14_chainB_pH74,2.087892892419398,0.5700000000000001,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_15_chainB_pH74,2.093113081979535,0.33,0.0,"[23 26 24 25 19 21 20 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_16_chainB_pH74,2.1179580910000504,0.78,0.0,"[23 25 24 26 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_17_chainB_pH74,2.065273931782234,0.39,0.0,"[23 26 24 25 19 21 20 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_18_chainB_pH74,2.074655754329632,0.84,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_19_chainB_pH74,2.0708618548031223,0.62,0.0,"[23 26 24 25 19 21 20 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
6ln3_ATP,6ln3_ATP_model_20_chainB_pH74,2.059513486394526,0.91,0.0,"[23 26 24 25 19 20 21 22 15 17 16 18 14 13 12 11 27 28 29 30 10  6  7  8
  9  1  0  2  3  4  5]"
