nameA,nameB,RMSD(OTMol),alpha,# mismatched bond,assignment
8w4x_BGCGLC,8w4x_BGCGLC_conf0,1.3186194084236267,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf1,1.4513145628405666,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf2,1.230185938290994,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf3,1.4558811250744474,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf4,1.7853514320796218,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf5,1.5668314176474327,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf6,1.5556581161408882,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf7,1.4781207820294122,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf8,0.9358492448919267,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf9,1.7955932255444198,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf10,1.0862231290483066,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf11,1.1181804988893447,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf12,1.2501252282700346,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf13,1.307921607486012,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf14,1.2269855623142554,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf15,1.2142253028121084,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf16,1.346551024209049,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf17,1.2240924139138278,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf18,1.2659118752260006,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf19,1.1158658651132596,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf20,1.2172246948380263,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf21,1.177826946930376,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf22,1.2741049343415807,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf23,1.3802224502260256,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf24,1.2199798176661671,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf25,1.5678989851610203,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf26,1.2488892563920302,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf27,1.6087872318001593,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf28,1.4834514731606778,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf29,1.4916483343782596,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf30,1.3644335145609054,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf31,1.4350809042410424,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
