nameA,nameB,RMSD(OTMol),alpha,BCI (%),assignment
8w4x_BGC,8w4x_sugars_model_0_chainB_pH74,0.09614677343699296,0.29,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_1_chainB_pH74,0.1208558915286269,0.2,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_2_chainB_pH74,0.08752790575808983,0.27,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_3_chainB_pH74,0.08406314109709118,0.19,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_4_chainB_pH74,0.09166719948353776,0.19,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_5_chainB_pH74,0.08297763207377425,0.31,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_6_chainB_pH74,0.08110922656567032,0.19,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_7_chainB_pH74,0.0772389783117378,0.19,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_8_chainB_pH74,0.08670224359660046,0.28,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_9_chainB_pH74,0.08775095157896853,0.29,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_10_chainB_pH74,0.08901246834805701,0.19,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_11_chainB_pH74,0.07974579356079513,0.19,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
8w4x_BGC,8w4x_sugars_model_12_chainB_pH74,0.09595839722515494,0.19,0.0,[ 6  8 10  2  1  4  5  7  9 11  3  0]
