nameA,nameB,RMSD(OTMol+atom connectivity),# atoms,alpha,assignment
252_FGG55,253_FGG99,2.277433646231486,37,0.51,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 30 31 32 29 34 27 28]"
252_FGG55,254_FGG300,2.640150396205798,37,0.36,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,255_FGG252,2.544667165677564,37,0.52,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 24 23
 25 22 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,256_FGG366,2.6563435620552003,37,0.17,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 24 23
 25 22 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,257_FGG215,2.383837030407815,37,0.42,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,258_FGG224,2.5019726172841663,37,0.04,"[ 0  1  2  3  4 13  5  7  8  9 10 11 12  6 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 29 30 33 34 31 32 27 28]"
252_FGG55,259_FGG380,1.601324591654668,37,0.05,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,2.2838187218858743,37,0.01,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,261_FGG444,2.408901277305396,37,0.74,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,2.4657324449698406,37,0.02,"[10  1  2  3  4  6 13  7  8  9  0 11 12  5 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 32 31 34 29 30 27 28]"
252_FGG55,263_FGG80,2.070182006233749,37,0.05,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,264_FGG114,1.9661460777400084,37,0.37,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,265_FGG357,2.0682910454517747,37,0.05,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 28 29 34 31 30 27 32]"
252_FGG55,266_FGG691,3.042011189743304,37,0.28,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 33 34 31 30 29 32 27 28 35 36]"
