nameA,nameB,RMSD(OTMol+atom connectivity),# atoms,alpha,assignment
252_FGG55,253_FGG99,1.9985017299873427,37,0.0,"[ 0  1  2  3  4 12  5  7 15  9 10 11 13  6 14  8 16 17 18 19 20 21 24 23
 25 22 26 27 28 35 36 33 34 31 32 29 30]"
252_FGG55,254_FGG300,2.3034823953549495,37,0.03,"[ 0  1  2  3  4  6  5  7 21  9 10 11 13 12 14 20 16 17 18 19  8 15 22 23
 25 24 26 33 34 31 32 29 30 27 28 35 36]"
252_FGG55,255_FGG252,2.3949743387752926,37,0.04,"[17  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16  0 18 19 20 21 25 23
 24 22 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,256_FGG366,2.5558862532048914,37,0.05,"[ 0  1  2  3  4  5  6  7 21  9 10 11 12 13 14 20 16 17 18 19  8 15 24 23
 25 22 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,257_FGG215,1.6042373089227213,37,0.01,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 21 16 17 18 19 15 20 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,258_FGG224,0.963963311998674,37,0.01,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 21 20 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,259_FGG380,1.4953481292758255,37,0.0,"[ 0  1  2  3  4 12  5  7 15  9 10 11 13  6 14  8 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,1.9385172848919725,37,0.04,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 20 16 17 18 19 15 21 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,261_FGG444,1.306899372151532,37,0.01,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 21 16 17 18 19 15 20 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,1.4412310793381158,37,0.01,"[ 0  1  2  3  4 13  6  7  8  9 10 11 12  5 14 20 16 17 18 19 15 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,263_FGG80,1.8661638252226809,37,0.04,"[ 0  1  2  3  4 12  5  7 15  9 10 11 13  6 14  8 16 17 18 19 20 21 24 23
 25 22 26 27 28 35 36 33 34 31 32 29 30]"
252_FGG55,264_FGG114,1.777984037695449,37,0.04,"[ 0  1  2  3  4  5  6  7 15  9 10 11 12 13 14  8 16 17 18 19 21 20 22 23
 25 24 26 35 36 27 28 29 30 31 32 33 34]"
252_FGG55,265_FGG357,1.7880843459995912,37,0.03,"[ 0  1  2  3 11 13  6  7  8  9 10  4 12  5 14 20 16 17 18 19 15 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,266_FGG691,2.424887915289658,37,0.01,"[17  1  2  3  4  5  6  7  8  9 10 11 13 12 14 15 16  0 18 19 20 21 22 23
 25 24 26 29 30 31 32 33 34 35 36 27 28]"
