nameA,nameB,RMSD(OTMol+atom type),# atoms,alpha,BCI,assignment
252_FGG55,253_FGG99,2.204337084849272,37,0.55,0.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,254_FGG300,2.640150396205798,37,0.34,0.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,255_FGG252,2.5858984158184843,37,0.53,0.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,256_FGG366,2.731794085861378,37,0.14,0.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,257_FGG215,2.3925934051672284,37,0.09,0.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,258_FGG224,2.516095542750755,37,0.55,0.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 13 12 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,259_FGG380,1.601324591654668,37,0.1,0.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,2.2838187218858743,37,0.31,0.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,261_FGG444,2.4209716830726866,37,0.6900000000000001,0.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 13 12 14 15 16 17 18 19 21 20 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,2.4725334608509666,37,0.3,0.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,263_FGG80,2.070182006233749,37,0.17,0.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,264_FGG114,1.9661460777400084,37,0.18,0.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,265_FGG357,2.1991629482138912,37,0.27,0.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,266_FGG691,3.134515145044944,37,0.28,0.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
