nameA,nameB,RMSD(OTMol+atom type),# atoms,alpha,assignment
252_FGG55,253_FGG99,2.121292426633721,37,1.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 20 22 24 23
 25 21 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,254_FGG300,2.640150396205798,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,255_FGG252,2.5330493696677894,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 13 12 14 15 16 17 18 19 20 25 22 23
 24 21 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,256_FGG366,2.7080006995348307,37,1.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 25 20 22 23
 24 21 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,257_FGG215,2.374229158746969,37,1.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 36 31 32 33 30 35 34]"
252_FGG55,258_FGG224,2.478908087979951,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 13 12 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 27 28 31 32 29 30 33 34]"
252_FGG55,259_FGG380,1.601324591654668,37,1.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,2.2784799121564916,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,261_FGG444,2.408901277305396,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,2.4725334608509666,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,263_FGG80,2.070182006233749,37,1.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,264_FGG114,1.8785545846610516,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 35 36 27 28 31 32 29 30 33 34]"
252_FGG55,265_FGG357,1.9164631389731568,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 27 28 31 32 29 30 33 34]"
252_FGG55,266_FGG691,3.0521868163756447,37,1.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 36 22 23
 25 24 26 27 21 33 34 31 32 29 30 35 28]"
