nameA,nameB,RMSD(OTMol+atom type),# atoms,alpha,assignment
252_FGG55,253_FGG99,1.7692522839362372,37,0.06,"[ 0  1  2  6  4  8  5  7 13  9 10 11 12 15 14 20 16 17 18 19 24 22 21 23
 25 36 26 27 28 29 30 31  3 33 32 35 34]"
252_FGG55,254_FGG300,1.977599967135109,37,0.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 15 14 21 16 17 18 19 13 22 20 23
 36 25 35 33 34 31 32 29 30 27 28 26 24]"
252_FGG55,255_FGG252,2.035887969654388,37,0.04,"[17  1  2  8  4  5  6  7  3  9 10 11 20 13 14 15 16  0 18 19 22 21 28 23
 25 24 27 29 30 31 32 33 34 35 12 26 36]"
252_FGG55,256_FGG366,2.2487241339110002,37,0.18,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 23 19 25 24 28 18
 34 36 33 31 32 29 30 27 20 26 21 35 22]"
252_FGG55,257_FGG215,1.4117524558960228,37,0.07,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 24 22 20 23
 25 36 35 26 21 27 28 29 30 31 32 33 34]"
252_FGG55,258_FGG224,0.7462840440918397,37,0.04,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 22 20 21 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,259_FGG380,1.3224685098464506,37,0.05,"[ 0  1  2  6  4  3  5  7 15  9 10 11 12 13 14  8 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,1.6737786784301174,37,0.07,"[ 0  1  2  6  4  8  5  7 13  9 10 11 12 15 14 20 16 17 18 19 24 22 21 23
 25 36 26 27 28 29 30 31  3 33 32 35 34]"
252_FGG55,261_FGG444,1.1422673356214292,37,0.06,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 22 20 21 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,1.2742647780842686,37,0.04,"[ 0  1  2  3  4  8  6  7 13  9 10 11 12  5 14 15 16 17 18 19 22 21 20 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,263_FGG80,1.5118988968975346,37,0.04,"[ 0  1  2  6  4  3  5  7 15  9 10 11 12 13 14  8 16 17 18 19 20 21 22 23
 25 28 27 26 24 35 36 33 34 31 32 29 30]"
252_FGG55,264_FGG114,1.5439659584903767,37,0.5700000000000001,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 36 35 26 24 27 28 29 30 31 32 33 34]"
252_FGG55,265_FGG357,1.5756782582995412,37,0.06,"[ 0  1  2  5  4  3  6  7  8  9 10 11 12 15 14 20 16 17 18 19 13 22 21 23
 24 28 27 26 25 35 36 33 34 31 32 29 30]"
252_FGG55,266_FGG691,2.053956712212749,37,0.07,"[17  1  2  8  4  5  6  7  3  9 10 11 13 12 14 15 16  0 18 19 22 20 21 23
 28 25 27 29 30 31 32 33 34 35 36 26 24]"
