nameA,nameB,RMSD(OTMol+element name),# atoms,alpha,assignment
252_FGG55,253_FGG99,1.8809507757733002,37,0.23,"[10  4  2  6  9 12  5  7  8  1  0 11 13  3 14 20 16 17 18 19 15 22 21 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,254_FGG300,1.986444584784295,37,0.66,"[ 2  1  0  3  4  6  5  7  8  9 10 11 15 21 19 20 16 17 18 14 13 12 22 23
 36 25 26 35 34 33 32 31 30 29 28 27 24]"
252_FGG55,255_FGG252,2.0559322340713577,37,0.98,"[ 2  1  0  3  4  5  6  7  8  9 10 11 12 13 14 15 35 17 33 19 34 32 36 23
 25 24 26 31 28 29 30 27 21 18 20 16 22]"
252_FGG55,256_FGG366,2.3707861919702693,37,0.32,"[ 2  1  0  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 23 19 25 34 24 35
 36 22 26 33 28 31 32 29 30 27 20 18 21]"
252_FGG55,257_FGG215,1.4383980831926226,37,0.66,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 24 22 21 23
 25 36 35 26 20 27 28 29 30 31 32 33 34]"
252_FGG55,258_FGG224,0.7462840440918397,37,0.12,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 22 20 21 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,259_FGG380,1.2754148103268517,37,0.24,"[ 2  1  0  6  4  3  5  7 15  9 10 11 12 13 14  8 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,1.6950179526579112,37,0.96,"[10  4  0  6  9 13  5  7  8  1  2 11 12  3 14 20 16 17 18 19 15 22 21 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,261_FGG444,1.1422673356214292,37,0.11,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 22 20 21 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,1.3469703904831836,37,0.07,"[ 0  1  2  5  4  3  6  7  8  9 10 11 12 13 14 15 16 17 18 19 22 21 20 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,263_FGG80,1.5118988968975346,37,0.7000000000000001,"[ 0  1  2  6  4  3  5  7 15  9 10 11 12 13 14  8 16 17 18 19 20 21 22 23
 25 28 27 26 24 35 36 33 34 31 32 29 30]"
252_FGG55,264_FGG114,1.6131139905287173,37,0.89,"[ 0  1  2  5  4  6  3  7  8  9 10 11 13 12 14 15 16 17 18 19 21 20 22 35
 25 36 26 23 24 27 28 29 30 31 32 33 34]"
252_FGG55,265_FGG357,1.586760298966108,37,0.86,"[ 2  1  0  6  9 12  3  7 13  4 10 11 15  5 14  8 16 17 18 19 22 21 20 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,266_FGG691,2.1894432530287586,37,0.12,"[ 2  1  0  3  4  5  6  7  8  9 10 11 12 13 14 15 35 17 31 19 34 32 21 33
 30 36 26 29 28 27 25 23 20 18 22 16 24]"
