nameA,nameB,RMSD(OTMol+element name),# atoms,alpha,assignment
252_FGG55,253_FGG99,1.7519520853767048,37,0.16,"[ 0  4  2  6  9  8  5  7 13  1 10 11 12 15 14 20 16 17 18 19 24 22 21 23
 25 36 26 27 28 29 30 31  3 33 32 35 34]"
252_FGG55,254_FGG300,1.9264978526697598,37,0.59,"[ 2  1  0  3  4  6  5  7  8  9 10 11 12 15 19 21 16 17 18 14 13 22 20 35
 36 25 26 33 34 31 32 29 30 27 28 23 24]"
252_FGG55,255_FGG252,1.9302915672914311,37,0.68,"[ 2  1  0  3  4  5  6  7  8  9 10 11 12 13 19 15 16 17 33 14 36 34 32 35
 25 24 26 31 28 29 30 27 21 18 20 23 22]"
252_FGG55,256_FGG366,2.1803345066137596,37,0.04,"[ 2  1  0  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 23 19 25 24 28 35
 34 36 33 31 32 29 30 27 20 18 21 26 22]"
252_FGG55,257_FGG215,1.4117524558960228,37,0.66,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 24 22 20 23
 25 36 35 26 21 27 28 29 30 31 32 33 34]"
252_FGG55,258_FGG224,0.7462840440918397,37,0.07,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 22 20 21 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,259_FGG380,1.2754148103268517,37,0.1,"[ 2  1  0  6  4  3  5  7 15  9 10 11 12 13 14  8 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,1.6607056818241726,37,0.46,"[ 2  1  0  3  4  6  5  7  8  9 10 11 12 15 19 20 16 17 18 14 13 22 21 23
 24 36 35 26 25 27 28 29 30 31 32 33 34]"
252_FGG55,261_FGG444,1.1422673356214292,37,0.11,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 22 20 21 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,1.2742647780842686,37,0.19,"[ 0  1  2  3  4  8  6  7 13  9 10 11 12  5 14 15 16 17 18 19 22 21 20 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,263_FGG80,1.4864554467046593,37,0.33,"[ 2  1  0  6  4  3  5  7 12  9 10 11 13  8 14 24 16 17 18 19 15 21 22 27
 20 28 26 23 25 35 36 33 34 31 32 29 30]"
252_FGG55,264_FGG114,1.528492649581968,37,0.77,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 35
 25 36 26 23 24 27 28 29 30 31 32 33 34]"
252_FGG55,265_FGG357,1.541721331232775,37,0.07,"[ 2  1  0  5  4  3  6  7  8  9 10 11 12 15 14 20 16 17 18 19 13 22 21 23
 24 28 27 26 25 35 36 33 34 31 32 29 30]"
252_FGG55,266_FGG691,1.9637425327227658,37,0.17,"[ 2  4 17  8  1  5  6  7  3  9 10 11 13 12 14 15 16  0 18 19 22 20 21 23
 28 25 27 29 30 31 32 33 34 35 36 26 24]"
