nameA,nameB,RMSD(OTMol+atom connectivity),# atoms,alpha,assignment
s1maw1-1,s1maw1-2,1.0828025120872349,17,0.04,[ 0  2  4  3  1  5  6  7  9  8 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-3,0.5839615633828438,17,0.21,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 16 15]
s1maw1-1,s1maw1-4,0.11538510897871562,17,0.12,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-5,0.54711656292459,17,0.32,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-6,0.9347301132483291,17,0.43,[ 0  2  1  3  4  5  9  7  8  6 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-7,1.0274332946230447,17,0.62,[ 0  4  1  3  2  5  6  7  9  8 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-8,1.037439534709623,17,0.32,[ 0  2  1  3  4  5  6  7  9  8 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-9,0.9322898345099311,17,0.22,[ 0  1  4  3  2  5  6  7  9  8 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-10,0.4183596086639191,17,0.02,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-11,0.5628080351186672,17,0.15,[ 0  4  1  3  2  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-12,0.553505228477418,17,0.12,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-13,0.9769546885186631,17,0.12,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-14,0.550090181098479,17,0.34,[ 0  2  1  3  4  5  8  7  6  9 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-15,0.4902559432093143,17,0.02,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-16,0.4113452503916782,17,0.23,[ 0  1  2  3  4  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-17,1.1618029409089266,17,0.09,[ 0  4  1  3  2  5  8  7  6  9 10 12 11 13 14 15 16]
s1maw1-1,s1maw1-18,1.1776396642699145,17,0.07,[ 0  2  4  3  1  5  8  7  6  9 10 12 11 13 14 16 15]
s1maw1-1,s1maw1-19,1.1432819969789587,17,0.03,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-20,0.9833143503200473,17,0.04,[ 0  2  1  3  4  5  6  7  9  8 10 11 13 12 14 16 15]
