nameA,nameB,RMSD(OTMol+atom type),# atoms,alpha,assignment
s1maw1-1,s1maw1-2,1.0828099817064398,17,0.0,[ 0  2  4  3  1  5  6  7  9  8 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-3,0.583973686643916,17,0.0,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 16 15]
s1maw1-1,s1maw1-4,0.11537133288107021,17,0.0,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-5,0.5471229647090432,17,0.0,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-6,0.7883414161529446,17,0.0,[ 0  2  4  3  1  5  9  7 12  6 10 13  8 11 14 16 15]
s1maw1-1,s1maw1-7,1.0274362533898795,17,0.0,[ 0  4  1  3  2  5  6  7  9  8 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-8,0.7214731522393575,17,0.0,[ 0  2  4  3  1  5  6  7 13  8 10 11  9 12 14 16 15]
s1maw1-1,s1maw1-9,0.8038780695370276,17,0.02,[ 0  1  2  3  4  5  6  7 12  8 10 13  9 11 14 16 15]
s1maw1-1,s1maw1-10,0.41836135700013993,17,0.0,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-11,0.5628176874889828,17,0.0,[ 0  4  1  3  2  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-12,0.553513048929349,17,0.0,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-13,0.7559316146283809,17,0.04,[ 0  2  1  3  4  5  9  7 11  8 10 13  6 12 14 16 15]
s1maw1-1,s1maw1-14,0.5500958782228431,17,0.0,[ 0  2  1  3  4  5  8  7  6  9 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-15,0.4902759929364998,17,0.0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-16,0.4113426362002448,17,0.0,[ 0  1  2  3  4  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-17,1.1401041407574102,17,0.0,[ 0  4  2  3  1  5  8  7  6  9 10 12 11 13 14 15 16]
s1maw1-1,s1maw1-18,1.1719557883257588,17,0.01,[ 0  2  1  3  4  5  8  7  6  9 10 12 11 13 14 15 16]
s1maw1-1,s1maw1-19,1.1432933128938862,17,0.01,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-20,0.9642046590939446,17,0.01,[ 0  2  1  3  4  5  6  7  9  8 10 11 13 12 14 15 16]
