nameA,nameB,representation,RMSD(OTMol),#,time,assignment
Wat_3_cluster_0_1st_lowest.xyz,Wat_3_cluster_1_2nd_lowest.xyz,center,1.4939491208167426,3,0.0990903377532959,[3 4 5 6 8 7 0 2 1]
Wat_4_cluster_2_1st_lowest.xyz,Wat_4_cluster_3_2nd_lowest.xyz,center,0.9541859470094246,4,0.0956571102142334,[ 6  7  8  9 11 10  0  1  2  3  5  4]
Wat_5_cluster_12_1st_lowest.xyz,Wat_5_cluster_13_2nd_lowest.xyz,center,0.1333124575384126,5,0.09845209121704102,[ 9 11 10 12 13 14  3  5  4  0  1  2  6  7  8]
Wat_6_cluster_31_1st_lowest.xyz,Wat_6_cluster_32_2nd_lowest.xyz,center,0.6878507073017922,6,0.09393620491027832,[ 0  2  1  9 11 10  6  8  7 15 16 17  3  5  4 12 13 14]
Wat_7_cluster_137_1st_lowest.xyz,Wat_7_cluster_138_2nd_lowest.xyz,center,0.7789267889779151,7,0.10369515419006348,[ 0  1  2  3  4  5  6  8  7  9 10 11 12 13 14 15 17 16 18 19 20]
Wat_8_cluster_607_1st_lowest.xyz,Wat_8_cluster_608_2nd_lowest.xyz,center,0.6072046036937423,8,0.10385489463806152,[ 0  1  2  6  8  7  9 10 11 21 22 23 15 17 16 18 19 20  3  5  4 12 14 13]
Wat_9_cluster_1184_1st_lowest.xyz,Wat_9_cluster_1185_2nd_lowest.xyz,center,0.5814189822089223,9,0.10403919219970703,"[ 6  7  8 12 13 14 21 23 22 24 26 25  0  2  1  9 11 10 18 20 19 15 17 16
  3  5  4]"
Wat_10_cluster_5310_1st_lowest.xyz,Wat_10_cluster_5311_2nd_lowest.xyz,center,0.6253297469870337,10,0.13061904907226562,"[12 13 14 24 25 26  9 10 11  3  5  4  6  7  8 27 28 29 18 20 19 21 23 22
  0  2  1 15 17 16]"
Wat_11_cluster_33413_1st_lowest.xyz,Wat_11_cluster_33414_2nd_lowest.xyz,center,0.9101463244708902,11,0.12467789649963379,"[ 9 10 11 27 28 29 12 13 14 15 17 16 24 25 26  0  1  2 18 19 20 30 32 31
  6  8  7 21 23 22  3  4  5]"
Wat_12_cluster_43582_1st_lowest.xyz,Wat_12_cluster_43583_2nd_lowest.xyz,center,0.5057728096816121,12,0.14466404914855957,"[ 0  2  1 12 13 14 21 22 23 18 20 19  9 11 10 27 28 29 30 32 31 15 16 17
 24 26 25 33 35 34  3  5  4  6  7  8]"
Wat_13_cluster_86223_1st_lowest.xyz,Wat_13_cluster_86224_2nd_lowest.xyz,center,0.4931530923955844,13,0.1164710521697998,"[12 14 13 24 26 25 27 29 28 15 16 17 33 34 35  6  8  7 36 37 38 21 23 22
 18 19 20  0  2  1 30 31 32  3  5  4  9 11 10]"
Wat_14_cluster_144675_1st_lowest.xyz,Wat_14_cluster_144676_2nd_lowest.xyz,center,0.48188232382591906,14,0.14239788055419922,"[30 31 32  6  8  7 24 26 25 18 19 20 12 13 14 21 22 23 33 35 34 36 37 38
  9 11 10 39 41 40  0  2  1 27 29 28 15 17 16  3  5  4]"
Wat_15_cluster_225208_1st_lowest.xyz,Wat_15_cluster_225209_2nd_lowest.xyz,center,0.7169942900918742,15,0.16351008415222168,"[ 0  1  2 12 13 14 18 20 19 42 44 43 30 32 31 15 16 17 27 29 28  6  7  8
 39 41 40  3  4  5 33 34 35 36 37 38 21 22 23 24 25 26  9 10 11]"
Wat_16_cluster_321028_1st_lowest.xyz,Wat_16_cluster_321029_2nd_lowest.xyz,center,0.4433422912971093,16,0.16296768188476562,"[ 6  7  8 12 14 13 33 34 35  9 11 10  0  2  1 24 26 25  3  5  4 30 32 31
 21 22 23 27 28 29 39 40 41 36 38 37 15 16 17 45 46 47 42 43 44 18 19 20]"
Wat_17_cluster_417887_1st_lowest.xyz,Wat_17_cluster_417888_2nd_lowest.xyz,center,1.2758961714966939,17,0.17122507095336914,"[21 23 22 12 14 13 24 25 26 42 44 43 27 28 29  6  7  8 36 38 37 39 40 41
  0  2  1 30 31 32 48 49 50  3  4  5 18 20 19 45 47 46 15 17 16  9 11 10
 33 34 35]"
Wat_18_cluster_524874_1st_lowest.xyz,Wat_18_cluster_524875_2nd_lowest.xyz,center,1.476950474319841,18,0.18684101104736328,"[ 9 10 11 12 14 13  0  1  2 21 23 22  3  4  5 51 53 52 30 32 31 39 41 40
 15 17 16 42 43 44 18 19 20 48 49 50 45 46 47 33 35 34 24 26 25 36 38 37
  6  8  7 27 28 29]"
Wat_19_cluster_637553_1st_lowest.xyz,Wat_19_cluster_637554_2nd_lowest.xyz,center,1.0654683363597461,19,0.18306803703308105,"[ 9 10 11 33 34 35 21 23 22 42 44 43  0  1  2 39 41 40 51 53 52 12 13 14
 15 16 17  6  7  8 24 25 26 54 56 55 27 29 28 48 50 49  3  4  5 30 32 31
 45 47 46 18 19 20 36 38 37]"
Wat_20_cluster_744361_1st_lowest.xyz,Wat_20_cluster_744362_2nd_lowest.xyz,center,1.7266578380990603,20,0.20307707786560059,"[12 13 14  3  4  5 18 19 20 15 16 17 33 35 34 39 41 40 45 46 47 51 53 52
 30 32 31 48 49 50 27 28 29  6  8  7  0  2  1 42 44 43 57 59 58 24 26 25
  9 10 11 36 37 38 54 55 56 21 23 22]"
Wat_21_cluster_865737_1st_lowest.xyz,Wat_21_cluster_865738_2nd_lowest.xyz,center,0.7151734186572625,21,0.2761049270629883,"[36 37 38 27 28 29 45 46 47 39 41 40 12 13 14 57 58 59 33 34 35 15 17 16
 24 25 26 51 52 53 21 23 22 42 43 44 30 32 31  6  7  8 48 49 50  9 10 11
 18 20 19 60 62 61  3  4  5 54 56 55  0  2  1]"
Wat_22_cluster_1179799_1st_lowest.xyz,Wat_22_cluster_1179800_2nd_lowest.xyz,center,1.2742650899567667,22,0.2102501392364502,"[27 28 29 30 31 32 42 43 44  0  1  2  9 10 11 54 55 56 63 65 64 39 41 40
 48 49 50 57 58 59 18 19 20 24 26 25 45 46 47 36 37 38 21 23 22  3  5  4
 15 16 17 60 62 61 51 53 52  6  8  7 33 35 34 12 13 14]"
Wat_23_cluster_1574510_1st_lowest.xyz,Wat_23_cluster_1574511_2nd_lowest.xyz,center,0.44826863335166467,23,0.18912887573242188,"[ 0  1  2  3  5  4 51 52 53  6  7  8  9 10 11 12 13 14 15 16 17 18 20 19
 21 23 22 24 26 25 27 28 29 30 31 32 36 37 38 39 40 41 42 44 43 45 46 47
 48 50 49 33 35 34 54 56 55 57 58 59 60 61 62 63 65 64 66 68 67]"
