nameA,nameB,representation,RMSD(OTMol),#,time,assignment
Wat_3_cluster_0_lowest_1.xyz,Wat_3_cluster_1_lowest_2.xyz,center,1.4939491208167426,3,0.10130691528320312,[3 4 5 6 8 7 0 2 1]
Wat_4_cluster_2_lowest_1.xyz,Wat_4_cluster_10_lowest_9.xyz,center,1.3910982305688837,4,0.09236288070678711,[ 3  5  4  9 10 11  6  7  8  0  1  2]
Wat_5_cluster_13_lowest_2.xyz,Wat_5_cluster_22_lowest_11.xyz,center,0.8784156521510358,5,0.10250616073608398,[ 9 11 10  0  1  2  6  8  7 12 13 14  3  5  4]
Wat_6_cluster_42_lowest_12.xyz,Wat_6_cluster_50_lowest_20.xyz,center,1.1270181264572359,6,0.11015510559082031,[12 14 13  0  1  2 15 17 16  6  7  8  9 11 10  3  4  5]
Wat_7_cluster_137_lowest_1.xyz,Wat_7_cluster_147_lowest_11.xyz,center,0.9744850316905935,7,0.10474181175231934,[12 14 13  0  2  1 15 16 17 18 19 20  9 10 11  6  7  8  3  4  5]
Wat_8_cluster_615_lowest_9.xyz,Wat_8_cluster_616_lowest_10.xyz,center,0.7237938943270329,8,0.09676909446716309,[ 6  7  8 18 19 20 21 22 23 12 13 14  0  2  1  3  4  5 15 17 16  9 11 10]
Wat_9_cluster_1184_lowest_1.xyz,Wat_9_cluster_1195_lowest_12.xyz,center,0.7711700789111012,9,0.10664510726928711,"[21 22 23  6  7  8 12 13 14  9 11 10  0  2  1 15 16 17 18 19 20 24 25 26
  3  5  4]"
Wat_10_cluster_5323_lowest_14.xyz,Wat_10_cluster_5324_lowest_15.xyz,center,0.8964173398547177,10,0.09589505195617676,"[12 13 14 27 28 29  0  1  2 24 26 25 15 17 16 21 23 22  3  5  4  6  8  7
 18 20 19  9 11 10]"
Wat_11_cluster_33413_lowest_1.xyz,Wat_11_cluster_33415_lowest_3.xyz,center,1.2821870438638046,11,0.11095094680786133,"[12 14 13  0  1  2  6  8  7 30 32 31 27 28 29 18 19 20  9 10 11  3  4  5
 15 16 17 24 25 26 21 23 22]"
Wat_12_cluster_43582_lowest_1.xyz,Wat_12_cluster_43599_lowest_18.xyz,center,0.8073708120680189,12,0.14191389083862305,"[ 0  1  2 18 19 20 12 13 14 30 32 31 27 29 28 21 23 22  6  7  8  3  5  4
 15 16 17 33 35 34 24 26 25  9 10 11]"
Wat_13_cluster_86223_lowest_1.xyz,Wat_13_cluster_86236_lowest_14.xyz,center,0.6889633776317421,13,0.11227583885192871,"[33 34 35 12 14 13 30 31 32 36 38 37 27 29 28  6  7  8  3  4  5 21 22 23
 24 26 25  9 11 10 15 17 16  0  1  2 18 20 19]"
Wat_14_cluster_144683_lowest_9.xyz,Wat_14_cluster_144693_lowest_19.xyz,center,0.7633480576267637,14,0.15647220611572266,"[24 25 26 27 29 28 18 19 20 30 32 31 12 13 14 21 22 23  3  5  4 39 41 40
  6  8  7 36 38 37 33 35 34  9 10 11  0  2  1 15 17 16]"
Wat_15_cluster_225216_lowest_9.xyz,Wat_15_cluster_225222_lowest_15.xyz,center,1.143040347930928,15,0.14750289916992188,"[42 44 43 15 17 16  0  1  2 39 40 41 36 37 38 12 14 13  3  4  5 21 23 22
 33 34 35  6  7  8  9 11 10 24 25 26 18 19 20 27 28 29 30 31 32]"
Wat_16_cluster_321029_lowest_2.xyz,Wat_16_cluster_321036_lowest_9.xyz,center,1.4619663087085701,16,0.1695089340209961,"[42 43 44 36 37 38 12 13 14 27 28 29  3  5  4  9 11 10  0  1  2 45 46 47
 24 25 26 30 32 31 15 17 16 21 22 23  6  8  7 39 41 40 33 35 34 18 19 20]"
Wat_17_cluster_417889_lowest_3.xyz,Wat_17_cluster_417896_lowest_10.xyz,center,1.046087499568765,17,0.17170214653015137,"[39 40 41 36 38 37 21 23 22 12 14 13  6  7  8 24 25 26  3  4  5 48 50 49
 45 46 47 30 31 32 42 43 44 18 19 20 33 34 35 27 28 29 15 16 17  0  1  2
  9 10 11]"
Wat_18_cluster_524876_lowest_3.xyz,Wat_18_cluster_524883_lowest_10.xyz,center,1.9276573090906421,18,0.1970980167388916,"[30 31 32 12 13 14 39 40 41 21 23 22 45 46 47 33 34 35 48 50 49 18 19 20
 36 38 37 27 28 29 15 17 16 24 25 26  0  1  2 42 43 44  9 11 10  6  8  7
  3  5  4 51 52 53]"
