nameA,nameB,method,RMSD(otmol),memory_used
Wat_3_cluster_0_1st_lowest.xyz,Wat_3_cluster_1_2nd_lowest.xyz,sOT,1.494050688616613,0.01953125
Wat_4_cluster_2_1st_lowest.xyz,Wat_4_cluster_3_2nd_lowest.xyz,sOT,0.954206286146998,0.02734375
Wat_5_cluster_12_1st_lowest.xyz,Wat_5_cluster_13_2nd_lowest.xyz,sOT,0.13331245753841267,0.01171875
Wat_6_cluster_31_1st_lowest.xyz,Wat_6_cluster_32_2nd_lowest.xyz,sOT,0.21765242236835514,0.15625
Wat_7_cluster_137_1st_lowest.xyz,Wat_7_cluster_138_2nd_lowest.xyz,sOT,0.7789397003381217,0.0234375
Wat_8_cluster_607_1st_lowest.xyz,Wat_8_cluster_608_2nd_lowest.xyz,sOT,0.6072046036937421,0.06640625
Wat_9_cluster_1184_1st_lowest.xyz,Wat_9_cluster_1185_2nd_lowest.xyz,sOT,0.5814188223013472,0.03515625
Wat_10_cluster_5310_1st_lowest.xyz,Wat_10_cluster_5311_2nd_lowest.xyz,sOT,0.625329746987034,0.22265625
Wat_11_cluster_33413_1st_lowest.xyz,Wat_11_cluster_33414_2nd_lowest.xyz,sOT,0.9101536728958045,0.05859375
Wat_12_cluster_43582_1st_lowest.xyz,Wat_12_cluster_43583_2nd_lowest.xyz,sOT,0.5057728096816119,0.22265625
Wat_13_cluster_86223_1st_lowest.xyz,Wat_13_cluster_86224_2nd_lowest.xyz,sOT,0.49315309239558436,0.09375
Wat_14_cluster_144675_1st_lowest.xyz,Wat_14_cluster_144676_2nd_lowest.xyz,sOT,0.48188232382591895,0.17578125
Wat_15_cluster_225208_1st_lowest.xyz,Wat_15_cluster_225209_2nd_lowest.xyz,sOT,0.517705825474348,0.20703125
Wat_16_cluster_321028_1st_lowest.xyz,Wat_16_cluster_321029_2nd_lowest.xyz,sOT,0.44334229129710917,0.04296875
Wat_17_cluster_417887_1st_lowest.xyz,Wat_17_cluster_417888_2nd_lowest.xyz,sOT,1.1982295105100484,0.1875
Wat_18_cluster_524874_1st_lowest.xyz,Wat_18_cluster_524875_2nd_lowest.xyz,sOT,1.4507581920394914,0.28515625
Wat_19_cluster_637553_1st_lowest.xyz,Wat_19_cluster_637554_2nd_lowest.xyz,sOT,0.595526236970421,0.08203125
Wat_20_cluster_744361_1st_lowest.xyz,Wat_20_cluster_744362_2nd_lowest.xyz,sOT,1.689873473908245,0.203125
Wat_21_cluster_865737_1st_lowest.xyz,Wat_21_cluster_865738_2nd_lowest.xyz,sOT,0.7151752252426725,0.51171875
Wat_22_cluster_1179799_1st_lowest.xyz,Wat_22_cluster_1179800_2nd_lowest.xyz,sOT,0.6282009962637052,0.0234375
Wat_23_cluster_1574510_1st_lowest.xyz,Wat_23_cluster_1574511_2nd_lowest.xyz,sOT,0.4482686333516644,0.05859375
Wat_24_cluster_1928474_1st_lowest.xyz,Wat_24_cluster_1928475_2nd_lowest.xyz,sOT,0.6748291824169848,0.05859375
Wat_25_cluster_2243803_1st_lowest.xyz,Wat_25_cluster_2243804_2nd_lowest.xyz,sOT,0.5601601197110895,0.515625
Wat_26_cluster_2726710_1st_lowest.xyz,Wat_26_cluster_2726711_2nd_lowest.xyz,sOT,1.4222806499043255,0.8359375
Wat_27_cluster_3257213_1st_lowest.xyz,Wat_27_cluster_3257214_2nd_lowest.xyz,sOT,1.4153959484999836,0.31640625
Wat_28_cluster_3649358_1st_lowest.xyz,Wat_28_cluster_3649359_2nd_lowest.xyz,sOT,1.5298978430935166,0.11328125
Wat_29_cluster_3925395_1st_lowest.xyz,Wat_29_cluster_3925396_2nd_lowest.xyz,sOT,1.6710752625329504,0.484375
Wat_30_cluster_4221226_1st_lowest.xyz,Wat_30_cluster_4221227_2nd_lowest.xyz,sOT,1.5144272796020883,0.1015625
