nameA,nameB,method,RMSD(otmol),memory_used
2-Cs-1.xyz,2-OpenC1.xyz,emd,0.4424751847473137,0.0078125
3-UUD.xyz,3-UUU.xyz,emd,0.47966565335615474,0.18359375
4-Ci.xyz,4-S4.xyz,emd,0.4939862594397265,0.01953125
5-CA-A.xyz,5-CA-B.xyz,emd,0.7561391920617176,0.02734375
6-BAG.xyz,6-BK-1.xyz,emd,1.0396456484895749,0.04296875
7-BI1.xyz,7-BI2.xyz,emd,0.713501645685425,0.01953125
8-D2d.xyz,8-S4.xyz,emd,0.6063086293512906,0.05859375
9-D2dDD.xyz,9-S4DA.xyz,emd,0.6406989561890262,0.03515625
10-PP1.xyz,10-PP2.xyz,emd,0.6419754068934741,0.15234375
11-551A-1.xyz,11-551A-4.xyz,emd,1.0009035895495737,0.08984375
12-D2d-1-L.xyz,12-D2d-1-R.xyz,emd,0.5145869711952172,0.12109375
13-TIP4P.xyz,13-TIP5P.xyz,emd,1.3048413518400228,0.0625
14-1.xyz,14-2.xyz,emd,0.5519288333105362,0.16796875
15-1.xyz,15-2.xyz,emd,1.2320729365158594,0.1640625
16-TIP4P.xyz,16-TIP5P.xyz,emd,1.6074334831759125,0.125
17-TIP4P.xyz,17-TIP5P.xyz,emd,1.2995980821729278,0.20703125
18-TIP4P.xyz,18-TIP5P.xyz,emd,1.4971387426205922,0.0625
19-TIP4P.xyz,19-TIP5P.xyz,emd,1.43481331229642,0.42578125
20-TIP4P.xyz,20-TIP5P.xyz,emd,1.8029817447666523,0.30078125
21-TIP4P.xyz,21-TIP5P.xyz,emd,1.5254475567775074,0.15625
25-1.xyz,25-2.xyz,emd,1.369151909185511,0.3203125
40-a.xyz,40-b.xyz,emd,2.186642377603001,1.94140625
60-1.xyz,60-2.xyz,emd,2.0549621369416102,4.22265625
100-1.xyz,100-2.xyz,emd,2.0436842675936857,31.56640625
