nameA,nameB,method,RMSD(otmol),memory_used
Wat_3_cluster_0_lowest_1.xyz,Wat_3_cluster_1_lowest_2.xyz,sOT,1.494050688616613,0.03125
Wat_4_cluster_2_lowest_1.xyz,Wat_4_cluster_10_lowest_9.xyz,sOT,1.391134709873321,0.015625
Wat_5_cluster_13_lowest_2.xyz,Wat_5_cluster_22_lowest_11.xyz,sOT,0.8784317470614942,0.01953125
Wat_6_cluster_42_lowest_12.xyz,Wat_6_cluster_50_lowest_20.xyz,sOT,1.03758674408187,0.01953125
Wat_7_cluster_137_lowest_1.xyz,Wat_7_cluster_147_lowest_11.xyz,sOT,0.8236841969127365,0.0390625
Wat_8_cluster_615_lowest_9.xyz,Wat_8_cluster_616_lowest_10.xyz,sOT,0.7237938943270332,0.0625
Wat_9_cluster_1184_lowest_1.xyz,Wat_9_cluster_1195_lowest_12.xyz,sOT,0.771174912043569,0.06640625
Wat_10_cluster_5323_lowest_14.xyz,Wat_10_cluster_5324_lowest_15.xyz,sOT,0.5962942136971585,0.046875
Wat_11_cluster_33413_lowest_1.xyz,Wat_11_cluster_33415_lowest_3.xyz,sOT,0.6234995473061073,0.19921875
Wat_12_cluster_43582_lowest_1.xyz,Wat_12_cluster_43599_lowest_18.xyz,sOT,0.8073707985957688,0.25390625
Wat_13_cluster_86223_lowest_1.xyz,Wat_13_cluster_86236_lowest_14.xyz,sOT,0.6889633776317424,0.0546875
Wat_14_cluster_144683_lowest_9.xyz,Wat_14_cluster_144693_lowest_19.xyz,sOT,0.7633480576268906,0.1796875
Wat_15_cluster_225216_lowest_9.xyz,Wat_15_cluster_225222_lowest_15.xyz,sOT,1.1430506303907262,0.1015625
Wat_16_cluster_321029_lowest_2.xyz,Wat_16_cluster_321036_lowest_9.xyz,sOT,1.4616948956792688,0.12109375
Wat_17_cluster_417889_lowest_3.xyz,Wat_17_cluster_417896_lowest_10.xyz,sOT,0.5192373305165925,0.09765625
Wat_18_cluster_524876_lowest_3.xyz,Wat_18_cluster_524883_lowest_10.xyz,sOT,1.8137662399216246,0.08984375
Wat_19_cluster_637554_lowest_2.xyz,Wat_19_cluster_637555_lowest_3.xyz,sOT,0.5603650142187807,0.18359375
Wat_20_cluster_744373_lowest_13.xyz,Wat_20_cluster_744380_lowest_20.xyz,sOT,1.1473164524425954,0.8984375
Wat_21_cluster_865752_lowest_14.xyz,Wat_21_cluster_865754_lowest_16.xyz,sOT,0.7842619691429784,0.07421875
Wat_22_cluster_1179802_lowest_4.xyz,Wat_22_cluster_1179808_lowest_10.xyz,sOT,1.4981798714889054,0.01953125
Wat_23_cluster_1574526_lowest_17.xyz,Wat_23_cluster_1574529_lowest_20.xyz,sOT,0.7005649975289804,0.421875
Wat_24_cluster_1928487_lowest_14.xyz,Wat_24_cluster_1928493_lowest_19.xyz,sOT,0.8666587272545686,0.0234375
Wat_25_cluster_2243818_lowest_16.xyz,Wat_25_cluster_2243821_lowest_19.xyz,sOT,1.0129943655596376,0.05859375
Wat_26_cluster_2726711_lowest_2.xyz,Wat_26_cluster_2726725_lowest_16.xyz,sOT,1.61898794479848,0.08203125
Wat_27_cluster_3257215_lowest_3.xyz,Wat_27_cluster_3257225_lowest_13.xyz,sOT,1.635652228972211,0.28125
Wat_28_cluster_3649363_lowest_6.xyz,Wat_28_cluster_3649374_lowest_17.xyz,sOT,1.5156605011945767,0.04296875
Wat_29_cluster_3925402_lowest_8.xyz,Wat_29_cluster_3925412_lowest_18.xyz,sOT,1.6938496614162182,0.328125
Wat_30_cluster_4221227_lowest_2.xyz,Wat_30_cluster_4221240_lowest_15.xyz,sOT,1.4541534282665947,0.09765625
